liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Time Played,Successful Lay-offs,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Long Passes,Shots Off Target (inc woodwork),Total Losses Of Possession,Successful Passes Own Half,Unsuccessful Short Passes,Total Passes,Total Fouls Conceded,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Corners into Box,Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Recoveries,Starts,PutThrough/Blocked Distribution,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Ground Duels,Forward Passes,Total Touches In Opposition Box,Index,Unsuccessful Dribbles,Duels,Goals Conceded,Unsuccessful Crosses & Corners,Games Played,Unsuccessful Corners into Box,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Duels lost,Throw Ins to Own Player,Aerial Duels lost,Total Tackles,Successful Dribbles,Unsuccessful Passes Own Half,Duels won,Shots On Target ( inc goals ),Aerial Duels won,Total Clearances,Aerial Duels,Tackles Won,Interceptions,Ground Duels won,Substitute On,Goals,Right Foot Goals,Substitute Off,Blocked Shots,Throw Ins to Opposition Player,Successful Long Passes,Successful Crosses open play,Total Fouls Won,Goals from Inside Box,Penalties Taken,Goal Assists,Penalty Goals,Offsides,Successful Launches,PutThrough/Blocked Distribution Won,Goals from Outside Box,Clean Sheets,Through balls,Tackles Lost,Yellow Cards,Blocks,Saves Made,GK Successful Distribution,Unsuccessful Launches,Catches,Saves made - parried,Saves Made from Inside Box,GK Unsuccessful Distribution,Clearances Off the Line,Unsuccessful lay-offs,Left Foot Goals,Foul Won Penalty,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Goals Conceded Outside Box,Attempts from Set Pieces,Punches,Saves Made from Outside Box,Penalties Faced,Assists (Intentional),Headed Goals,Handballs conceded,Hit Woodwork,Penalties Conceded,Second Goal Assists,Drops,Own Goal Scored,Penalty Goals Conceded,Times Tackled,Home Goals,Away Goals,Winning Goal,Saves made - caught,Goal Kicks,Set Pieces Goals,Other Goals,Penalties Saved,Saves from Penalty,Crosses not Claimed,Goalkeeper Smother
USA_US_Open_Cup,2018,FC Wichita,2wpypmbq2tgd6jgoa34ctrrhl,V. Olorunfemi,Midfielder,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,FC Wichita,9jk15b6eknc5sm45ztbzg4lbd,S. Pineda,Defender,0.0,3.0,89.0,,26.0,,6.0,,12.0,2.0,,20.0,10.0,2.0,26.0,,19.0,2.0,,4.0,,1.0,,6.0,5.0,1.0,,55.0,,1.0,,8.0,9.0,1.0,10.0,1.0,8.0,3.0,3.0,1.0,,5.0,10.0,22.0,22.0,5.0,6.0,,3.0,,1.0,3.0,,,4.0,,2.0,,3.0,,,,1.0,,6.0,3.0,,,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,FC Wichita,6o4o56qfij8r2n9fnxxnvpboq,J. Robbins,Defender,0.0,,45.0,,2.0,,1.0,,,1.0,,1.0,1.0,,2.0,,1.0,1.0,,1.0,,,,,1.0,,,9.0,,1.0,,,1.0,,10.0,,,1.0,,1.0,,,,1.0,1.0,,,,,,1.0,,,,5.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,FC Wichita,a3i3qmmosu6uarh60bbe7cb56,M. Saar,Midfielder,0.0,,3.0,,2.0,,,,1.0,,,1.0,,1.0,2.0,,1.0,,,1.0,,1.0,,,,,1.0,4.0,,2.0,,1.0,1.0,,10.0,,1.0,,,2.0,,1.0,,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,FC Wichita,8tajp471pzc8awbcoix07koo9,Leo Sosa,Midfielder,0.0,6.0,180.0,,34.0,,,,15.0,7.0,3.0,28.0,5.0,11.0,38.0,3.0,11.0,4.0,4.0,18.0,,6.0,2.0,21.0,6.0,2.0,,67.0,,2.0,1.0,8.0,21.0,2.0,10.0,,14.0,6.0,6.0,2.0,,5.0,11.0,19.0,20.0,8.0,1.0,3.0,1.0,1.0,3.0,6.0,1.0,3.0,3.0,6.0,,6.0,3.0,,,,,,,9.0,,1.0,,,1.0,,,1.0,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,FC Wichita,9tqwoh53uqts2m4gbpgwr45pl,F. Tayou,Forward,0.0,,180.0,1.0,22.0,4.0,12.0,,12.0,,5.0,23.0,9.0,9.0,30.0,3.0,20.0,4.0,8.0,9.0,,7.0,,9.0,4.0,2.0,1.0,69.0,,2.0,1.0,16.0,9.0,13.0,10.0,3.0,25.0,6.0,,2.0,,7.0,2.0,13.0,21.0,12.0,,5.0,1.0,2.0,,13.0,3.0,4.0,1.0,9.0,1.0,1.0,9.0,,2.0,,,3.0,,1.0,,7.0,2.0,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,FC Wichita,76q8tcpitqb9fehqjvy7j7k6h,U. Tayou,Defender,0.0,,180.0,,33.0,1.0,2.0,,8.0,6.0,,8.0,21.0,2.0,37.0,2.0,22.0,4.0,,8.0,,10.0,,6.0,7.0,2.0,,54.0,,2.0,2.0,10.0,16.0,1.0,10.0,,13.0,6.0,,2.0,,2.0,9.0,26.0,29.0,4.0,,2.0,5.0,1.0,2.0,9.0,,1.0,4.0,3.0,4.0,2.0,8.0,,,,,1.0,,7.0,,2.0,,,,,,6.0,,,,,1.0,,,,,5.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,FC Wichita,a85az7euwv44mjotm64rbvr6y,Luis Vidal,Midfielder,0.0,,96.0,,19.0,1.0,2.0,2.0,9.0,1.0,,12.0,5.0,6.0,19.0,1.0,11.0,3.0,,7.0,,4.0,1.0,7.0,3.0,2.0,,38.0,,2.0,1.0,10.0,12.0,2.0,10.0,,11.0,5.0,,2.0,,6.0,1.0,12.0,12.0,7.0,8.0,1.0,1.0,2.0,,4.0,,,,1.0,1.0,,4.0,,,,2.0,,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,FC Wichita,61p5ffys3e2ttpshh3gvf0wrt,M. Weir,Goalkeeper,0.0,,180.0,,22.0,,,,14.0,26.0,,27.0,11.0,1.0,52.0,,8.0,4.0,,27.0,,5.0,,24.0,21.0,2.0,,65.0,,2.0,,1.0,42.0,,10.0,,1.0,6.0,,2.0,,,5.0,10.0,25.0,,,,,,3.0,1.0,,,1.0,,,,1.0,,,,,,,17.0,,1.0,,,,,,5.0,,,,,,,,2.0,18.0,13.0,2.0,,2.0,10.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2018,FC Wichita,bsxw1xb49j82uejwx1s8ye4x6,T. Wells,Defender,0.0,,180.0,,30.0,,3.0,2.0,19.0,1.0,1.0,18.0,3.0,9.0,30.0,3.0,20.0,4.0,6.0,10.0,,5.0,4.0,7.0,3.0,2.0,4.0,61.0,,2.0,1.0,14.0,12.0,9.0,10.0,1.0,18.0,6.0,,2.0,,8.0,10.0,20.0,20.0,11.0,1.0,3.0,1.0,1.0,3.0,7.0,5.0,1.0,1.0,4.0,1.0,2.0,6.0,,1.0,,,,,,2.0,4.0,1.0,,1.0,,,,2.0,,,1.0,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
