liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocked Shots,Blocks,Carries,Clean Sheets,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,Games Played,Goals Conceded,Goals Conceded Inside Box,Ground Duels,Ground Duels lost,Ground Duels won,Interceptions,Key Passes (Attempt Assists),Leftside Passes,Open Play Passes,Penalty Goals Conceded,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Rightside Passes,Shots Created,Starts,Substitute Off,Successful Launches,Successful Lay-offs,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Time Played,Times Tackled,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Yellow Cards,Winning Goal,Corners Won,Overruns,Substitute On,Successful Dribbles,Throw Ins to Own Player,Total Big Chances Created,Throw Ins to Opposition Player,Handballs conceded,Penalties Conceded,Shots Off Target (inc woodwork),Total Shots,Unsuccessful Dribbles,Goals,Goals Openplay,Goals from Inside Box,Hit Woodwork,Offsides,Right Foot Goals,Shots On Target ( inc goals ),Total Big Chances Missed,Unsuccessful lay-offs,Home Goals,Away Goals,Assists (Intentional),Corners Taken (incl short corners),Goal Assists,Successful Crosses & Corners,Successful Crosses open play,Through balls,Unsuccessful Corners into Box,Red Cards - 2nd Yellow,Total Red Cards,GK Successful Distribution,Goal Kicks,Total Big Chances Saved,Left Foot Goals,Catches,Drops,GK Unsuccessful Distribution,Penalties Faced,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - caught,Saves made - parried,Total Big Chances Scored,Penalties Taken,Penalty Goals,Successful Corners into Box,Attempts from Set Pieces,Second Goal Assists,Foul Won Penalty,Goals Conceded Outside Box,Goals from Outside Box,Own Goal Scored,Last Player Tackle,Headed Goals,Direct Setpiece Goals,Set Pieces Goals,Clearances Off the Line,Crosses not Claimed,Goalkeeper Smother,Straight Red Cards,Penalties Off Target,Penalties Saved,Saves from Penalty,Other Goals
USA_USL_Championship,2026,Oakland Roots SC,26aes5tu81i0yhtk8dtjcxf1m,J. Kiil,Forward,19,25.0,15.0,10.0,9.0,8.0,3.0,,8.0,,43.0,26.0,17.0,26.0,7.0,3.0,9.0,7.0,7.0,18.0,11.0,7.0,,1.0,1.0,21.0,,4.0,2.0,1.0,,5.0,1.0,,,,2.0,,14.0,9.0,5.0,14.0,1.0,,180.0,5.0,3.0,5.0,5.0,20.0,21.0,14.0,1.0,9.0,7.0,54.0,,,,1.0,6.0,1.0,6.0,,0.0,1.0,,9.0,1.0,,,,,,2.0,4.0,2.0,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2026,Oakland Roots SC,1o0ew8fp44fuo3o7c8ef8pd2i,T. Lepley,Midfielder,21,,,,1.0,6.0,,,7.0,,2.0,,2.0,15.0,7.0,,1.0,,,2.0,,2.0,,2.0,13.0,27.0,,2.0,,,3.0,1.0,2.0,,,,,1.0,26.0,21.0,5.0,25.0,,1.0,35.0,,,,1.0,3.0,27.0,26.0,1.0,1.0,1.0,33.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,1.0,,,,,,,,1.0,,1.0,1.0,,,,,1.0,,,1.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
USA_USL_Championship,2026,Oakland Roots SC,eu533xxiwkappe1sakgdn2s5w,J. Maldonado,Forward,22,,,,1.0,,,,1.0,,,,,2.0,,,1.0,,,,,,,,3.0,4.0,,,1.0,,,1.0,,,,,,1.0,3.0,4.0,,2.0,,,4.0,,,,,2.0,4.0,3.0,,,1.0,6.0,,,,,1.0,,1.0,,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2026,Oakland Roots SC,7z57s6veqr3k87quyd6i7fgx6,M. Fisher,Defender,20,3.0,2.0,1.0,3.0,26.0,,,14.0,1.0,20.0,7.0,13.0,25.0,34.0,1.0,3.0,1.0,1.0,17.0,5.0,12.0,3.0,1.0,32.0,96.0,,4.0,8.0,5.0,6.0,6.0,2.0,3.0,1.0,2.0,1.0,7.0,75.0,27.0,52.0,70.0,5.0,2.0,245.0,2.0,5.0,1.0,3.0,32.0,98.0,77.0,7.0,4.0,21.0,158.0,2.0,2.0,5.0,8.0,12.0,11.0,13.0,1.0,1.0,,,,2.0,14.0,,3.0,,,1.0,2.0,,1.0,,1.0,,,,1.0,,,0.0,1.0,1.0,,1.0,2.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2026,Oakland Roots SC,db1h2huu8z1quj816wol1wgkp,T. McCabe,Midfielder,4,12.0,6.0,6.0,9.0,103.0,,3.0,116.0,1.0,36.0,23.0,13.0,89.0,246.0,4.0,9.0,12.0,12.0,24.0,17.0,7.0,4.0,9.0,185.0,703.0,1.0,57.0,3.0,2.0,30.0,217.0,9.0,9.0,,4.0,12.0,38.0,627.0,304.0,371.0,634.0,,3.0,810.0,2.0,24.0,5.0,5.0,99.0,751.0,672.0,3.0,2.0,79.0,833.0,11.0,5.0,15.0,41.0,73.0,17.0,38.0,3.0,0.0,1.0,,,,3.0,,,,,5.0,5.0,2.0,,,,,,,,,1.0,,,,6.0,,3.0,1.0,1.0,4.0,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,
USA_USL_Championship,2026,Oakland Roots SC,6j38lv6xa3gnzzsn5x2i35rdh,K. McIntosh,Goalkeeper,1,,,,1.0,,,,2.0,,,,,,16.0,,1.0,2.0,2.0,,,,,,6.0,18.0,,1.0,,,7.0,3.0,,1.0,,,,1.0,15.0,1.0,18.0,18.0,,,90.0,,,,,6.0,25.0,19.0,,,6.0,35.0,,,4.0,6.0,5.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2.0,1.0,,1.0,,,,,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2026,Oakland Roots SC,6g7v93m80xq6x38o9u3t8y3je,W. Prentice,Forward,7,13.0,7.0,6.0,9.0,74.0,4.0,2.0,70.0,,91.0,51.0,40.0,141.0,59.0,7.0,9.0,9.0,9.0,78.0,44.0,34.0,7.0,7.0,24.0,213.0,1.0,29.0,16.0,9.0,31.0,56.0,11.0,9.0,5.0,1.0,3.0,8.0,165.0,102.0,69.0,157.0,4.0,7.0,719.0,28.0,6.0,9.0,16.0,114.0,213.0,165.0,11.0,26.0,48.0,388.0,19.0,19.0,7.0,10.0,57.0,10.0,38.0,,0.0,9.0,,,7.0,13.0,7.0,3.0,,,1.0,5.0,15.0,4.0,4.0,4.0,,8.0,1.0,4.0,,1.0,2.0,2.0,3.0,,4.0,6.0,6.0,2.0,,,,,,,1.0,,,,,,,,,,,3.0,,,,,,,,,,,2.0,,,,,,,,,,
USA_USL_Championship,2026,Oakland Roots SC,czuygpnrczvp8vn9p3qqtvlzo,B. Roberson,Forward,44,3.0,2.0,1.0,2.0,,,,2.0,,6.0,5.0,1.0,1.0,1.0,1.0,2.0,,,3.0,3.0,,,,1.0,3.0,,1.0,,,1.0,1.0,,,,,,,3.0,1.0,2.0,3.0,,,5.0,,,3.0,,,3.0,3.0,,,,4.0,,,,,,,,,0.0,,,2.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2026,Oakland Roots SC,65zcoi5vy9mksnswxr9uigqvo,L. Rosic,Midfielder,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2026,Oakland Roots SC,c8lbffulrhpc7tcyfsg38jevo,E. Sorrosa,Defender,42,,,,1.0,,,,,,,,,1.0,1.0,,1.0,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,1.0,1.0,,1.0,,,1.0,,,,,,1.0,1.0,,,,2.0,,,,,,,,,0.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2026,Oakland Roots SC,629pbkngxk7ucy0qt9mngvkd1,R. Spiegel,Goalkeeper,33,4.0,1.0,3.0,8.0,,,,30.0,1.0,6.0,2.0,4.0,,126.0,,8.0,10.0,10.0,2.0,1.0,1.0,,,32.0,143.0,1.0,6.0,4.0,,82.0,54.0,,8.0,,8.0,,29.0,108.0,16.0,130.0,117.0,,,720.0,,10.0,,1.0,68.0,212.0,146.0,,,66.0,301.0,,,32.0,65.0,53.0,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,75.0,44.0,2.0,,6.0,,12.0,1.0,4.0,26.0,15.0,10.0,1.0,11.0,,,,,,,,,,,,,,,,,,1.0,,,,
