liga,temporada,equipo,id,nombre,posicion,dorsal,Appearances,Unsuccessful lay-offs,Successful Short Passes,Successful Crosses & Corners,Overruns,Tackles Lost,Shots Off Target (inc woodwork),Recoveries,Unsuccessful Long Passes,Corners Taken (incl short corners),Backward Passes,Unsuccessful Crosses & Corners,Throw Ins to Opposition Player,Unsuccessful Launches,Total Fouls Won,Goals,Unsuccessful Crosses open play,Yellow Cards,Blocked Shots,Foul Attempted Tackle,Unsuccessful Dribbles,PutThrough/Blocked Distribution Won,Goals Conceded Inside Box,Games Played,Total Fouls Conceded,Successful Crosses open play,Successful Lay-offs,Total Shots,Times Tackled,Key Passes (Attempt Assists),Substitute Off,Rightside Passes,Duels lost,Tackles Won,Goals Conceded,Right Foot Goals,Total Losses Of Possession,Corners Won,Unsuccessful Short Passes,Forward Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Unsuccessful Corners into Box,Aerial Duels lost,Total Successful Passes ( Excl Crosses & Corners ) ,Throw Ins to Own Player,Ground Duels,Total Passes,Through balls,Shots On Target ( inc goals ),Aerial Duels,Unsuccessful Passes Own Half,Successful Passes Own Half,Leftside Passes,Duels,Open Play Passes,Goal Assists,Interceptions,Successful Open Play Passes,Successful Passes Opposition Half,Starts,Successful Dribbles,Goals from Inside Box,Unsuccessful Passes Opposition Half,Goals Conceded Outside Box,Total Clearances,Ground Duels won,Index,Total Touches In Opposition Box,Time Played,Ground Duels lost,Touches,PutThrough/Blocked Distribution,Duels won,Substitute On,Successful Corners into Box,Aerial Duels won,Total Tackles,Successful Long Passes,Assists (Intentional),Home Goals,Away Goals,Winning Goal,Penalty Goals Conceded,Penalties Conceded,Offsides,Blocks,Hit Woodwork,Clean Sheets,Successful Launches,Goals from Outside Box,Headed Goals,Handballs conceded,Penalty Goals,Penalties Off Target,Attempts from Set Pieces,Penalties Taken,Last Player Tackle,Goal Kicks,GK Successful Distribution,Left Foot Goals,Clearances Off the Line,Saves Made from Inside Box,Saves made - parried,Penalties Faced,Saves Made from Outside Box,Saves made - caught,Goalkeeper Smother,Catches,Drops,Punches,GK Unsuccessful Distribution,Saves Made,Foul Won Penalty,Own Goal Scored,Total Red Cards,Straight Red Cards,Second Goal Assists,Crosses not Claimed,Other Goals,Red Cards - 2nd Yellow,Saves from Penalty,Penalties Saved,Set Pieces Goals
Canada_Canadian_Premier_League,2024,Atlético Ottawa,ahgc93f1ar17qy1sxhb74b09g,T. Walker,Defender,4,18,,584,,,7,1,58,63,,50,2,5,31,16,,2,1,,8,3,9,15,18,20,,,3,6,1,6,148,53,21,16,,145,1,56,271,119,,16,646,10,90,765,,2,38,41,472,296,128,740,,14,624,174,16,10,,80,1,45,53,10,9,1352,37,961,17,75,2,,22,28,62,,,,0,1,,,12,,3,6,,,,,,,,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2024,Atlético Ottawa,dbqcata2hskqhcvjkjhagy4bu,R. Yesli,Goalkeeper,99,8,,160,,,,,59,61,,,,,38,,,,2,,,,,7,8,,,,,,2,,54,,,10,,62,,1,115,62,,,190,,,252,,,1,10,176,83,1,196,,,158,14,8,,,52,3,9,,10,,720,,318,,1,,,1,,30,,,,0,,,,,,2,7,,,,,,,,,30,55,,,11,4,,8,1,2,5,,3,6,19,,,,,,,,,,,
Canada_Canadian_Premier_League,2024,Atlético Ottawa,b0htpe1wljc2rv984tl4q4st1,Alberto Zapater,Midfielder,21,24,,637,2,,21,2,93,37,,82,4,,20,11,3,4,3,1,12,2,19,17,24,19,2,3,7,10,10,8,232,68,28,21,,135,,65,206,102,,14,689,1,119,791,2,5,26,30,385,271,145,771,,23,671,306,15,6,3,76,4,11,65,10,10,1433,54,978,30,77,9,,12,49,52,,2,1,0,1,,,3,,3,4,,3,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2024,Atlético Ottawa,f1qvh9qszr743tj8zb3kcvaei,M. de Brienne,Defender,22,28,1,708,12,1,22,15,120,87,8,218,40,73,49,22,,33,10,7,18,32,43,24,28,33,10,1,20,47,24,11,388,115,38,29,,441,18,151,344,238,6,15,753,145,205,991,1,5,55,66,389,41,260,975,1,45,739,376,27,23,,212,5,60,105,10,44,2385,100,1702,66,145,1,2,40,60,45,1,,,0,1,,2,6,1,4,9,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2024,Atlético Ottawa,62up18u94hzy8hn0y1t7fga5m,Jesús del Amo,Defender,3,7,,323,,,4,,25,23,3,33,3,,15,2,,,2,,3,,2,5,7,5,,,,1,1,,163,12,2,5,,46,2,16,142,39,3,4,348,3,16,387,,,9,15,255,49,25,380,,4,341,93,6,1,,27,,17,8,10,3,587,8,434,2,13,1,,5,6,25,,,,0,,,,,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2024,Atlético Ottawa,b1v4hzu506vc92ep7j8gzwtl,R. del Campo,Forward,19,30,3,213,4,7,6,34,41,8,,93,17,2,2,34,12,17,5,28,9,39,14,24,30,30,4,12,61,71,16,8,83,186,6,29,2,233,26,72,63,80,,82,219,7,167,299,2,27,128,4,81,60,295,256,2,2,176,142,24,19,11,93,5,10,63,10,130,2265,104,675,30,109,6,,46,12,6,2,5,7,2,1,,16,2,3,2,,1,,,2,,2,2,,,,10,1,,,,,,,,,,,,1,,,,,,,,,,
Canada_Canadian_Premier_League,2024,Cavalry FC,cseaof8mo75i2fufyg0b4bpat,F. Aird,Midfielder,33,28,,983,67,2,14,3,91,84,73,255,127,11,46,7,3,76,4,6,14,13,14,19,28,28,35,1,12,18,60,11,58,75,23,24,3,400,23,139,472,223,33,14,1067,203,118,1290,3,9,24,51,423,505,142,1225,4,18,1012,711,24,14,3,299,5,36,57,10,27,2178,61,1920,45,67,4,24,10,37,84,3,1,2,2,2,,2,5,1,5,11,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Canada_Canadian_Premier_League,2024,Cavalry FC,7q6h161f7gcqnpy07x80hbpck,W. Akio,Forward,19,8,,56,1,1,3,5,10,1,,26,13,,1,4,1,13,1,4,1,13,2,4,8,4,1,1,7,19,4,4,18,31,4,5,,61,6,15,13,16,,9,58,3,38,74,,2,15,1,21,17,53,72,,,56,38,3,5,1,28,1,,16,10,28,333,22,165,6,22,5,,6,7,2,,0,1,0,,,2,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2024,Cavalry FC,pfu0j7xf48iklqfyr3fmh4dm,J. Barrett,Goalkeeper,21,1,,20,,,,,5,4,,,,,2,,,,,,,,,1,1,,,,,,,,6,,,1,,5,,1,13,5,,,22,,,27,,,,1,20,8,,17,,,14,2,1,,,4,,,,10,,90,,36,1,,,,,,2,,,,0,,,,,,,1,,,,,,,,,9,12,,,2,,,2,,,,,,2,4,,,,,,,,,,,
Canada_Canadian_Premier_League,2024,Cavalry FC,6vgdnnu536sykcj68ohq25c0k,M. Barrett,Goalkeeper,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
