liga,temporada,equipo,id,nombre,posicion,dorsal,Key Passes (Attempt Assists),Substitute Off,Interceptions,Aerial Duels lost,Foul Attempted Tackle,PutThrough/Blocked Distribution,Successful Launches,Unsuccessful Launches,Headed Goals,Forward Passes,Penalty Goals Conceded,Successful Crosses open play,Successful Passes Own Half,Aerial Duels,Ground Duels lost,Successful Crosses & Corners,Total Passes,Unsuccessful Dribbles,Duels lost,Total Touches In Opposition Box,Games Played,Shots On Target ( inc goals ),Blocked Shots,Unsuccessful Long Passes,Backward Passes,Unsuccessful Crosses & Corners,Unsuccessful Passes Opposition Half,Ground Duels won,Starts,Goals Conceded Inside Box,Total Successful Passes ( Excl Crosses & Corners ) ,Total Losses Of Possession,Times Tackled,Time Played,Successful Open Play Passes,Goals,Unsuccessful Short Passes,Successful Short Passes,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Successful Lay-offs,Tackles Lost,Total Clearances,Successful Long Passes,Goals Conceded,Touches,Appearances,Leftside Passes,Unsuccessful Passes Own Half,Total Shots,Recoveries,Hit Woodwork,Rightside Passes,Successful Dribbles,Total Tackles,Duels,Corners Won,Open Play Passes,PutThrough/Blocked Distribution Won,Through balls,Index,Duels won,Aerial Duels won,Yellow Cards,Goals from Inside Box,Successful Passes Opposition Half,Tackles Won,Total Fouls Won,Unsuccessful Crosses open play,Substitute On,Total Unsuccessful Passes ( Excl Crosses & Corners ),Ground Duels,Total Fouls Conceded,Clean Sheets,Home Goals,Away Goals,Winning Goal,Assists (Intentional),Corners Taken (incl short corners),Unsuccessful Corners into Box,Attempts from Set Pieces,Blocks,Offsides,Throw Ins to Own Player,Throw Ins to Opposition Player,Successful Corners into Box,Goal Assists,GK Successful Distribution,Penalties Conceded,GK Unsuccessful Distribution,Handballs conceded,Straight Red Cards,Right Foot Goals,Penalties Taken,Total Red Cards,Unsuccessful lay-offs,Goals from Outside Box,Penalty Goals,Foul Won Penalty,Other Goals,Left Foot Goals,Red Cards - 2nd Yellow,Clearances Off the Line,Penalties Saved,Saves Made,Catches,Saves from Penalty,Saves Made from Outside Box,Saves Made from Inside Box,Punches,Penalties Faced,Saves made - parried,Goalkeeper Smother,Set Pieces Goals,Drops,Saves made - caught,Crosses not Claimed,Own Goal Scored,Last Man Tackle,Second Goal Assists,Successful Fifty Fifty,Fifty Fifty,Penalties Off Target
USA_USL_Championship,2021,Atlanta United 2,5t1wvh34lm993otbc3469uzxm,J. Conway,Forward,36,5.0,4.0,,12.0,4.0,3.0,,3.0,,18.0,,,30.0,20.0,17.0,,96.0,2.0,29.0,9.0,6.0,4.0,1.0,6.0,32.0,,21.0,8.0,5.0,9.0,70.0,47.0,7.0,383.0,57.0,1.0,20.0,63.0,6.0,2.0,3.0,1.0,2.0,7.0,11.0,145.0,6.0,24.0,5.0,10.0,9.0,,22.0,1.0,1.0,45.0,,83.0,,,10.0,16.0,8.0,2.0,,40.0,,6.0,,1.0,26.0,25.0,11.0,,1.0,0.0,0.0,,,,,,2.0,2.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2021,Atlanta United 2,eqaoe97hsczveao8o4tbnj26t,A. De John,Defender,3,1.0,1.0,7.0,9.0,,1.0,,2.0,,74.0,1.0,,148.0,24.0,2.0,,216.0,,11.0,2.0,3.0,,,10.0,9.0,,15.0,7.0,3.0,1.0,188.0,32.0,1.0,240.0,184.0,,18.0,174.0,1.0,,,3.0,19.0,14.0,1.0,267.0,3.0,49.0,13.0,1.0,14.0,,84.0,,3.0,33.0,,212.0,1.0,,10.0,22.0,15.0,,,40.0,,4.0,,,28.0,9.0,1.0,1.0,0.0,0.0,0.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2021,Atlanta United 2,7o3vvz5w2ftz08ba23b79mgkq,A. Diop,Midfielder,5,4.0,6.0,11.0,3.0,12.0,9.0,1.0,5.0,,153.0,1.0,1.0,356.0,14.0,46.0,1.0,622.0,3.0,49.0,2.0,16.0,1.0,1.0,20.0,103.0,2.0,52.0,47.0,11.0,18.0,545.0,111.0,10.0,1035.0,529.0,1.0,57.0,506.0,6.0,2.0,,9.0,8.0,39.0,20.0,753.0,16.0,165.0,27.0,7.0,93.0,,201.0,10.0,29.0,107.0,,605.0,5.0,1.0,10.0,58.0,11.0,4.0,1.0,190.0,20.0,8.0,2.0,5.0,77.0,93.0,20.0,1.0,0.0,1.0,0.0,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2021,Atlanta United 2,e3fy78bi5y42k0rz5vob1cb8p,Amadou Diop,Forward,7,11.0,11.0,5.0,31.0,10.0,12.0,,,1.0,43.0,2.0,2.0,72.0,67.0,56.0,2.0,254.0,14.0,87.0,71.0,20.0,11.0,12.0,3.0,99.0,9.0,69.0,33.0,12.0,17.0,182.0,162.0,32.0,1108.0,152.0,3.0,69.0,170.0,27.0,1.0,12.0,1.0,10.0,12.0,18.0,493.0,20.0,51.0,12.0,38.0,21.0,2.0,61.0,16.0,4.0,156.0,7.0,224.0,6.0,,10.0,69.0,36.0,2.0,3.0,112.0,3.0,15.0,9.0,8.0,72.0,89.0,21.0,,2.0,1.0,0.0,1.0,,,1.0,1.0,8.0,4.0,1.0,,2.0,,,,2.0,,2.0,1.0,,6.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2021,Atlanta United 2,5y0x6mck3zl8cio425q1uli3t,B. Kamdem,Defender,6,9.0,3.0,30.0,51.0,21.0,32.0,4.0,50.0,,565.0,2.0,6.0,801.0,85.0,68.0,6.0,1353.0,10.0,119.0,15.0,28.0,3.0,,122.0,147.0,19.0,172.0,80.0,22.0,37.0,1093.0,336.0,21.0,2139.0,1037.0,1.0,138.0,1024.0,5.0,3.0,,17.0,70.0,69.0,40.0,1751.0,28.0,213.0,107.0,8.0,140.0,,428.0,10.0,46.0,233.0,5.0,1297.0,17.0,,10.0,114.0,34.0,8.0,1.0,298.0,29.0,24.0,19.0,6.0,260.0,148.0,39.0,2.0,1.0,0.0,0.0,,,,1.0,18.0,4.0,43.0,6.0,,,6.0,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2021,Atlanta United 2,9zuk40rppwiyzn980bw7z1v1m,A. Fortune,Midfielder,37,10.0,9.0,10.0,12.0,10.0,24.0,8.0,10.0,,217.0,,1.0,303.0,17.0,49.0,1.0,684.0,7.0,61.0,17.0,23.0,6.0,6.0,37.0,123.0,9.0,98.0,53.0,16.0,29.0,574.0,173.0,19.0,1234.0,550.0,2.0,73.0,511.0,9.0,3.0,1.0,11.0,18.0,63.0,32.0,895.0,23.0,150.0,21.0,15.0,74.0,2.0,194.0,9.0,22.0,119.0,9.0,659.0,14.0,3.0,10.0,58.0,5.0,3.0,2.0,272.0,11.0,22.0,8.0,7.0,110.0,102.0,21.0,,1.0,1.0,1.0,,1.0,,1.0,6.0,,5.0,,1.0,,,1.0,,2.0,,1.0,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2021,Atlanta United 2,c7i11l9181wd0o5m0t33melm,C. Gannon,Forward,22,4.0,,2.0,8.0,1.0,4.0,,2.0,,14.0,,3.0,13.0,11.0,13.0,3.0,68.0,4.0,21.0,17.0,6.0,4.0,1.0,5.0,19.0,5.0,20.0,8.0,1.0,6.0,50.0,41.0,7.0,253.0,46.0,2.0,13.0,49.0,1.0,,3.0,2.0,2.0,1.0,6.0,122.0,6.0,24.0,3.0,5.0,14.0,,11.0,,5.0,32.0,4.0,63.0,1.0,,10.0,11.0,3.0,,2.0,40.0,3.0,3.0,5.0,5.0,18.0,21.0,3.0,,2.0,0.0,0.0,,4.0,,,,2.0,2.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2021,Atlanta United 2,4hd0ll17kan2jbt6u1yrja1p0,A. Garuba,Forward,15,1.0,1.0,1.0,5.0,3.0,7.0,,1.0,,11.0,,,7.0,10.0,15.0,,40.0,5.0,20.0,8.0,11.0,1.0,,2.0,14.0,3.0,13.0,9.0,1.0,2.0,26.0,32.0,5.0,139.0,26.0,,12.0,25.0,1.0,,,2.0,1.0,1.0,2.0,83.0,11.0,6.0,4.0,2.0,7.0,,9.0,2.0,6.0,34.0,4.0,40.0,6.0,,10.0,14.0,5.0,,,19.0,4.0,1.0,3.0,10.0,14.0,24.0,4.0,,0.0,0.0,0.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2021,Atlanta United 2,35bpd9cmuep6cqczngaqpc19m,P. Goodrum,Forward,9,10.0,5.0,4.0,27.0,8.0,15.0,,2.0,,58.0,1.0,4.0,57.0,34.0,53.0,4.0,190.0,16.0,80.0,44.0,18.0,7.0,8.0,6.0,49.0,12.0,46.0,39.0,5.0,18.0,145.0,126.0,32.0,653.0,135.0,4.0,39.0,139.0,6.0,1.0,3.0,4.0,1.0,6.0,19.0,379.0,18.0,43.0,11.0,13.0,31.0,,40.0,10.0,11.0,126.0,6.0,180.0,7.0,,10.0,46.0,7.0,3.0,4.0,92.0,7.0,18.0,12.0,13.0,45.0,92.0,17.0,,0.0,4.0,1.0,1.0,,,,1.0,3.0,7.0,2.0,,2.0,,,,,,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2021,Atlanta United 2,ea8jgqvyafx5wvgd5d70mgx9m,J. Gurr,Defender,26,2.0,,,1.0,1.0,,1.0,1.0,,14.0,,2.0,22.0,3.0,4.0,2.0,41.0,1.0,5.0,3.0,1.0,1.0,,4.0,15.0,3.0,9.0,5.0,1.0,2.0,34.0,13.0,2.0,87.0,33.0,,3.0,30.0,1.0,,,,1.0,4.0,2.0,65.0,1.0,12.0,1.0,2.0,2.0,,,2.0,1.0,12.0,1.0,40.0,,,10.0,7.0,2.0,,,14.0,1.0,2.0,3.0,,7.0,9.0,3.0,,0.0,0.0,0.0,,,,,1.0,,6.0,1.0,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
