root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Time Played,Throw Ins to Own Player,Substitute On,Successful Launches,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Throw Ins to Opposition Player,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Appearances,Blocks,Ground Duels,Forward Passes,Index,Duels won,Successful Long Passes,Successful Crosses open play,Total Fouls Won,Duels,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Games Played,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Saves Made,GK Successful Distribution,Penalties Conceded,Total Fouls Conceded,Rightside Passes,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves made - caught,GK Unsuccessful Distribution,Yellow Cards,PutThrough/Blocked Distribution Won,Substitute Off,Corners Taken (incl short corners),Foul Attempted Tackle,Aerial Duels won,Unsuccessful Dribbles,Offsides,Shots Off Target (inc woodwork),Total Shots,Total Touches In Opposition Box,Unsuccessful Corners into Box,Handballs conceded,Assists (Intentional),Goal Assists,Goals,Blocked Shots,Shots On Target ( inc goals ),Left Foot Goals,Headed Goals,Goals from Inside Box,Set Pieces Goals,Successful Corners into Box,Goals from Outside Box,Attempts from Set Pieces,Clearances Off the Line,Hit Woodwork,Unsuccessful lay-offs,Successful Lay-offs,Clean Sheets,Punches,Total Red Cards,Straight Red Cards,Crosses not Claimed,Through balls,Own Goal Scored,Right Foot Goals,Foul Won Penalty,Penalties Taken,Penalty Goals,Goals Conceded Outside Box,Goalkeeper Smother,Red Cards - 2nd Yellow,Penalties Saved,Saves from Penalty,Last Man Tackle,Other Goals
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,FC Dallas,FC_Dallas,6q9z9gr8sr2ps88apxpb1aehh,R. Lamah,Midfielder,20,2.0,254.0,3.0,,,80.0,,17.0,1.0,46.0,,4.0,1.0,35.0,18.0,,14.0,81.0,1.0,58.0,2.0,18.0,5.0,18.0,,16.0,3.0,5.0,2.0,115.0,3.0,,14.0,21.0,47.0,6.0,5.0,1.0,2.0,18.0,1.0,4.0,2.0,3.0,11.0,13.0,63.0,63.0,4.0,,12.0,,1.0,3.0,,,,3.0,30.0,,,,,,,,,,2.0,2.0,,2.0,3.0,2.0,1.0,2.0,3.0,13.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,FC Dallas,FC_Dallas,75exkyhhuq97wtoyue70i2aqd,C. Lizarazo,Midfielder,22,1.0,104.0,1.0,2.0,,49.0,,16.0,3.0,39.0,,,2.0,22.0,13.0,1.0,4.0,53.0,3.0,46.0,,4.0,3.0,9.0,,5.0,1.0,,,88.0,3.0,,24.0,13.0,96.0,10.0,3.0,,6.0,26.0,,,5.0,3.0,14.0,11.0,47.0,49.0,2.0,1.0,16.0,,,10.0,,,,1.0,13.0,,,,,,,,,,,1.0,7.0,1.0,,2.0,1.0,2.0,3.0,1.0,4.0,,,,1.0,,1.0,1.0,,,,2.0,1.0,1.0,,,,3.0,,,,,,2.0,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,FC Dallas,FC_Dallas,27dp0c0ichq6wkd8vs2k6fphx,J. Morales,Midfielder,11,1.0,115.0,,2.0,,80.0,,20.0,2.0,49.0,,2.0,,22.0,33.0,1.0,9.0,91.0,,77.0,2.0,11.0,2.0,12.0,,7.0,1.0,,3.0,113.0,3.0,,9.0,22.0,85.0,5.0,3.0,1.0,4.0,9.0,2.0,3.0,4.0,3.0,4.0,23.0,72.0,80.0,,1.0,4.0,,,5.0,,,,4.0,26.0,,,,,,,,,,,,4.0,4.0,,,,2.0,2.0,1.0,2.0,,,,,,,,,,,1.0,,,,,,5.0,,,,,,,,,,,,1.0,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,FC Dallas,FC_Dallas,2z3beo4fhbyvt9ubicjmm139x,J. Ortiz,Midfielder,20,,270.0,,,,174.0,2.0,18.0,,81.0,2.0,9.0,,32.0,72.0,8.0,17.0,179.0,3.0,136.0,2.0,26.0,1.0,22.0,1.0,18.0,3.0,5.0,4.0,219.0,3.0,1.0,22.0,55.0,56.0,16.0,17.0,,4.0,23.0,1.0,3.0,,3.0,7.0,62.0,148.0,153.0,1.0,6.0,7.0,2.0,6.0,15.0,,,,3.0,44.0,,,,,,,,,,5.0,,,1.0,1.0,1.0,,2.0,2.0,1.0,,1.0,,,,2.0,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,1.0,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,FC Dallas,FC_Dallas,ecisv2x3d2cixow7mrf0ba8k5,N. Paparatto,Defender,5,,180.0,,,1.0,86.0,,2.0,,25.0,2.0,8.0,,20.0,46.0,2.0,9.0,88.0,,59.0,2.0,17.0,,12.0,,10.0,2.0,,5.0,109.0,2.0,2.0,7.0,44.0,46.0,5.0,12.0,,,10.0,4.0,2.0,,2.0,5.0,36.0,69.0,71.0,3.0,1.0,5.0,1.0,7.0,2.0,,,,3.0,6.0,,,,,,,,,,,,,,3.0,1.0,,2.0,3.0,3.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,FC Dallas,FC_Dallas,aotwq482so2s2m7skaeq6xjvt,T. Pitter,Midfielder,15,2.0,13.0,,1.0,,6.0,,6.0,,4.0,,,,5.0,1.0,,1.0,6.0,,5.0,,1.0,1.0,3.0,,,,,,12.0,1.0,,,,95.0,,,,,,,,2.0,1.0,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,5.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,FC Dallas,FC_Dallas,52tr565cd0o78pb0wy5oqphwp,P. Pomykal,Midfielder,19,,27.0,,1.0,1.0,24.0,,6.0,,5.0,,1.0,,3.0,16.0,,2.0,24.0,,19.0,2.0,3.0,,3.0,,2.0,,,,25.0,1.0,,1.0,6.0,41.0,1.0,2.0,,1.0,1.0,,2.0,,1.0,,7.0,21.0,21.0,,,,,,1.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,FC Dallas,FC_Dallas,9cgi9f9q7hml7dshvyw88edp1,M. Rosales,Midfielder,77,6.0,161.0,2.0,1.0,,52.0,3.0,16.0,4.0,34.0,,2.0,4.0,36.0,9.0,3.0,16.0,57.0,2.0,36.0,2.0,18.0,3.0,30.0,,8.0,2.0,1.0,3.0,91.0,3.0,,14.0,23.0,100.0,8.0,3.0,2.0,3.0,18.0,,3.0,15.0,3.0,6.0,11.0,36.0,39.0,4.0,2.0,10.0,1.0,,8.0,,,,2.0,7.0,,,,,,,,,,,2.0,8.0,2.0,,1.0,,1.0,1.0,,7.0,,2.0,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,FC Dallas,FC_Dallas,jaivf7y6jgj4famrsqsdtpsl,C. Ruíz,Forward,29,,90.0,,,,19.0,1.0,4.0,,12.0,,,,6.0,3.0,,5.0,20.0,,14.0,,5.0,1.0,4.0,,1.0,1.0,1.0,1.0,25.0,1.0,,2.0,3.0,42.0,,1.0,,,2.0,,,,1.0,2.0,7.0,14.0,15.0,,,2.0,,,,,,,,6.0,,,,,,,,,,,,,,,1.0,,1.0,2.0,6.0,,,,,,1.0,1.0,,,,,,,,,1.0,,4.0,1.0,,,,,1.0,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,FC Dallas,FC_Dallas,8njj3j7pdb071u9fs2wxozc9h,C. Seitz,Goalkeeper,18,,360.0,,,7.0,40.0,,,,10.0,7.0,24.0,,24.0,50.0,,,84.0,,38.0,4.0,24.0,,21.0,,37.0,4.0,,3.0,131.0,4.0,,,50.0,60.0,,22.0,,,,6.0,6.0,,4.0,,23.0,38.0,60.0,,,,,,,12.0,42.0,,,11.0,,1.0,7.0,10.0,5.0,,,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,2.0,,,,,,
