liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off,Unsuccessful Crosses open play,Time Played,Throw Ins to Own Player,Successful Lay-offs,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Throw Ins to Opposition Player,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Appearances,Foul Attempted Tackle,Blocks,Ground Duels,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Successful Long Passes,Successful Crosses open play,Total Fouls Won,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Unsuccessful lay-offs,Through balls,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Offsides,GK Successful Distribution,Successful Launches,Successful Corners into Box,Corners Taken (incl short corners),Unsuccessful Corners into Box,Handballs conceded,Hit Woodwork,Attempts from Set Pieces,Assists (Intentional),Goal Assists,Saves Made,Crosses not Claimed,Punches,Goalkeeper Smother,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Saves made - caught,GK Unsuccessful Distribution,Right Foot Goals,Clearances Off the Line,Goals from Inside Box,Left Foot Goals,Headed Goals,Penalties Taken,Penalty Goals,Foul Won Penalty,Goals from Outside Box,Penalties Conceded,Last Man Tackle,Own Goal Scored,Set Pieces Goals,Penalties Faced,Penalties Off Target,Penalties Saved,Saves from Penalty,Fifty Fifty,Drops
Mexico_Liga_MX,2014-2015,Club Tigres UANL,5seuruocknsnp24elefzrwdsl,E. Esqueda,Forward,16.0,16.0,2.0,1.0,1.0,1.0,,11.0,4.0,2.0,490.0,,7.0,101.0,2.0,35.0,,60.0,,2.0,3.0,7.0,,9.0,43.0,28.0,4.0,18.0,108.0,10.0,,86.0,2.0,11.0,20.0,20.0,5.0,21.0,4.0,,13.0,5.0,6.0,2.0,171.0,16.0,6.0,1.0,37.0,22.0,,10.0,26.0,4.0,2.0,,11.0,11.0,3.0,57.0,,2.0,3.0,22.0,31.0,82.0,88.0,20.0,,1.0,,4.0,31.0,,2.0,15.0,6.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,
Mexico_Liga_MX,2014-2015,Club Tigres UANL,bhforubddmdvwp9r508bsdoet,J. Estrada,Defender,14.0,12.0,,1.0,,,,,2.0,36.0,1005.0,94.0,1.0,399.0,2.0,63.0,10.0,217.0,7.0,19.0,9.0,2.0,2.0,9.0,147.0,138.0,23.0,53.0,417.0,15.0,1.0,334.0,10.0,3.0,72.0,29.0,7.0,92.0,3.0,24.0,46.0,12.0,16.0,16.0,682.0,12.0,11.0,1.0,65.0,166.0,2.0,10.0,47.0,1.0,11.0,9.0,16.0,8.0,1.0,82.0,10.0,12.0,36.0,26.0,159.0,329.0,345.0,17.0,4.0,,,20.0,35.0,3.0,12.0,39.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
Mexico_Liga_MX,2014-2015,Club Tigres UANL,3brsbjbzkowz9i2sq8gthncnp,A. Fernández,Goalkeeper,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2014-2015,Club Tigres UANL,eo9onyvn5rc88vavgwp9glryt,J. Guerrón,Midfielder,8.0,17.0,6.0,3.0,1.0,,1.0,1.0,7.0,41.0,1372.0,3.0,14.0,354.0,27.0,116.0,4.0,240.0,4.0,7.0,11.0,22.0,2.0,24.0,248.0,53.0,7.0,68.0,364.0,50.0,26.0,283.0,14.0,38.0,75.0,70.0,18.0,108.0,5.0,,40.0,16.0,23.0,9.0,672.0,17.0,15.0,,169.0,61.0,,10.0,63.0,16.0,6.0,4.0,17.0,16.0,35.0,209.0,4.0,16.0,42.0,122.0,117.0,279.0,289.0,40.0,2.0,6.0,1.0,7.0,146.0,,4.0,47.0,7.0,,,,3.0,1.0,5.0,5.0,1.0,,,,,,,,,,,,,4.0,,6.0,1.0,1.0,1.0,,,,,,,,,,,,,
Mexico_Liga_MX,2014-2015,Club Tigres UANL,7uuli7jqi66bkkotgkypsignp,N. Guzmán,Goalkeeper,1.0,17.0,,3.0,,,,,,,1530.0,,,170.0,,,,44.0,39.0,90.0,1.0,,2.0,2.0,104.0,215.0,,4.0,353.0,1.0,,189.0,14.0,,94.0,58.0,1.0,70.0,,,120.0,17.0,1.0,24.0,515.0,17.0,1.0,,7.0,218.0,,10.0,6.0,,70.0,,4.0,2.0,1.0,11.0,9.0,16.0,,3.0,77.0,134.0,259.0,4.0,5.0,,,,5.0,,3.0,4.0,,157.0,20.0,,,,,,,,,43.0,1.0,8.0,2.0,17.0,13.0,8.0,30.0,8.0,37.0,,,,,,,,,,1.0,,,,2.0,,,,,1.0
Mexico_Liga_MX,2014-2015,Club Tigres UANL,envpdcapbpk8477snh5aidhp1,I. Jiménez,Defender,2.0,9.0,,,,,,2.0,1.0,3.0,670.0,73.0,3.0,315.0,3.0,46.0,1.0,134.0,6.0,14.0,8.0,2.0,,8.0,78.0,141.0,23.0,32.0,320.0,9.0,3.0,260.0,5.0,4.0,46.0,23.0,3.0,38.0,,13.0,45.0,7.0,16.0,11.0,516.0,9.0,7.0,,56.0,96.0,,10.0,40.0,2.0,14.0,1.0,9.0,6.0,3.0,70.0,8.0,5.0,3.0,22.0,155.0,269.0,274.0,14.0,2.0,,,21.0,30.0,2.0,23.0,34.0,1.0,,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2014-2015,Club Tigres UANL,lgp88ye6zxaut9f9a8ea6ifp,G. Lugo,Midfielder,23.0,15.0,2.0,,,,,6.0,6.0,12.0,782.0,1.0,12.0,365.0,6.0,75.0,4.0,211.0,1.0,7.0,5.0,7.0,1.0,8.0,130.0,88.0,11.0,67.0,369.0,12.0,5.0,285.0,7.0,12.0,74.0,64.0,9.0,71.0,2.0,,57.0,9.0,16.0,17.0,490.0,15.0,5.0,,56.0,95.0,,10.0,29.0,5.0,10.0,4.0,8.0,5.0,8.0,69.0,8.0,8.0,14.0,32.0,135.0,292.0,295.0,13.0,1.0,1.0,,9.0,40.0,2.0,4.0,24.0,1.0,,2.0,,2.0,2.0,2.0,2.0,,,,,,,,,,,,,1.0,2.0,,2.0,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2014-2015,Club Tigres UANL,1pr709b760f7kc7x5p8x3s991,U. Luna,Midfielder,98.0,1.0,,,,,,,1.0,2.0,29.0,1.0,1.0,9.0,1.0,1.0,,5.0,,1.0,,,,,5.0,2.0,,1.0,9.0,,1.0,7.0,,,2.0,2.0,,4.0,,,1.0,1.0,,,14.0,1.0,,,2.0,4.0,,10.0,1.0,,,,,,,2.0,,,2.0,1.0,2.0,7.0,7.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2014-2015,Club Tigres UANL,6c5qedagljommpvgllic6icb9,L. Martínez,Midfielder,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2014-2015,Club Tigres UANL,do3gqdmzzs8vmd58n0fsgz1zp,E. Palos,Goalkeeper,22.0,2.0,,,,,,,,,180.0,,,17.0,,,,8.0,7.0,21.0,,,,,21.0,12.0,,,41.0,,,9.0,1.0,,21.0,5.0,,21.0,,,13.0,2.0,,,59.0,2.0,,,,31.0,,10.0,,,11.0,,,,,,3.0,1.0,,,5.0,12.0,20.0,,1.0,,,,,,,,,15.0,4.0,,,,,,,,,6.0,,2.0,,,3.0,,3.0,3.0,10.0,,,,,,,,,,,,,,,,,,,
