liga,temporada,equipo,id,nombre,posicion,dorsal,Penalty Goals Conceded,Goals Conceded,Games Played,Appearances,Index,Starts,Goals Conceded Inside Box,Time Played,Winning Goal,Yellow Cards,Substitute On,Substitute Off,Goals Conceded Outside Box,Rightside Passes,Successful Open Play Passes,Forward Passes,Touches,Goalkeeper Smother,Punches,Total Passes,Successful Passes Opposition Half,GK Successful Distribution,Leftside Passes,Saves Made from Outside Box,Unsuccessful Passes Own Half,Unsuccessful Passes Opposition Half,Successful Short Passes,Recoveries,Saves Made,Penalties Faced,Goal Kicks,Successful Long Passes,Total Losses Of Possession,Total Unsuccessful Passes ( Excl Crosses & Corners ),Open Play Passes,GK Unsuccessful Distribution,Saves Made from Inside Box,Total Clearances,Successful Launches,Total Successful Passes ( Excl Crosses & Corners ) ,Unsuccessful Long Passes,Unsuccessful Launches,Successful Passes Own Half,Saves made - parried,Tackles Lost,PutThrough/Blocked Distribution,Backward Passes,Total Fouls Won,Tackles Won,Duels,Blocked Shots,Unsuccessful Dribbles,Aerial Duels,Ground Duels lost,Corners Won,Aerial Duels lost,Times Tackled,Unsuccessful Crosses & Corners,PutThrough/Blocked Distribution Won,Total Fouls Conceded,Total Tackles,Ground Duels,Total Touches In Opposition Box,Aerial Duels won,Duels lost,Unsuccessful Crosses open play,Successful Dribbles,Unsuccessful Short Passes,Ground Duels won,Duels won,Successful Lay-offs,Total Shots,Shots Off Target (inc woodwork),Interceptions,Foul Attempted Tackle,Throw Ins to Own Player,Last Man Tackle,Throw Ins to Opposition Player,Blocks,Successful Crosses open play,Key Passes (Attempt Assists),Successful Crosses & Corners,Through balls,Assists (Intentional),Shots On Target ( inc goals ),Goal Assists,Goals,Goals from Inside Box,Offsides,Left Foot Goals,Home Goals,Away Goals,Handballs conceded,Penalties Conceded,Corners Taken (incl short corners),Unsuccessful Corners into Box,Successful Corners into Box,Attempts from Set Pieces,Unsuccessful lay-offs,Catches,Clean Sheets,Headed Goals,Hit Woodwork,Right Foot Goals,Red Cards - 2nd Yellow,Total Red Cards,Goals from Outside Box,Second Goal Assists,Saves made - caught,Own Goal Scored,Penalties Taken,Penalty Goals,Foul Won Penalty,Drops,Clearances Off the Line,Set Pieces Goals,Straight Red Cards,Penalties Saved,Saves from Penalty,Overruns
USA_US_Open_Cup,2023,DC United,5a02rrfusvietawk0d94iqiju,J. Hopkins,Midfielder,25,,1.0,2.0,2.0,10.0,2.0,1.0,174.0,0.0,,,1.0,,11.0,19.0,18.0,48.0,,,36.0,16.0,,1.0,,5.0,13.0,17.0,5.0,,,,2.0,20.0,17.0,36.0,,,,,19.0,6.0,3.0,5.0,,,5.0,6.0,,1.0,10.0,1.0,,1.0,7.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,9.0,1.0,,8.0,1.0,1.0,11.0,2.0,2.0,,,,,1.0,1.0,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2023,DC United,5poofr1j8221dhowins42c1jp,E. Hurtado,Forward,9,,1.0,1.0,1.0,10.0,1.0,1.0,65.0,0.0,1.0,,1.0,,2.0,5.0,2.0,18.0,,,11.0,3.0,,1.0,,1.0,3.0,7.0,1.0,,,,,7.0,4.0,9.0,,,,,7.0,,,4.0,,,1.0,6.0,,1.0,10.0,,,4.0,4.0,,3.0,2.0,,1.0,2.0,1.0,6.0,3.0,1.0,7.0,,1.0,4.0,2.0,3.0,1.0,1.0,1.0,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2023,DC United,1r5zkfhxkrrgzhd0k0huxtas5,M. Klich,Midfielder,43,,,1.0,1.0,10.0,,,6.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2023,DC United,2r46dy0lmb3dkws1elpdo63ca,T. Ku-DiPietro,Midfielder,21,,,1.0,1.0,10.0,1.0,,90.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2023,DC United,9q7wmfzk1bq7f9fb7wge6fnx1,A. Nájar,Defender,14,,,1.0,1.0,10.0,1.0,,90.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2023,DC United,dcq0nu7mmecab5djjwg0n8ktm,L. O'Brien,Midfielder,17,,,2.0,2.0,10.0,,,51.0,0.0,,2.0,,,1.0,4.0,3.0,9.0,,,6.0,1.0,,1.0,,1.0,1.0,3.0,3.0,,,,1.0,2.0,2.0,6.0,,,,1.0,4.0,1.0,,3.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,1.0,,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2023,DC United,2y7n86mdkvx5cjaz2e838ncdm,D. Pines,Defender,23,,,1.0,1.0,10.0,,,25.0,0.0,,1.0,,,6.0,10.0,6.0,20.0,,,16.0,1.0,,3.0,,4.0,2.0,9.0,3.0,,,,1.0,7.0,6.0,16.0,,,1.0,,10.0,,,9.0,,,,1.0,,,5.0,,,4.0,1.0,,,1.0,,,,,1.0,,4.0,1.0,,,6.0,,4.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2023,DC United,4braldrfw3y7g030lctguuuol,V. Pálsson,Midfielder,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2023,DC United,3my2fxybaxfqoofh89bwixg8a,H. Sargis,Defender,30,,1.0,2.0,2.0,10.0,2.0,1.0,180.0,0.0,1.0,,,,1.0,33.0,23.0,59.0,,,48.0,11.0,,19.0,,6.0,8.0,30.0,4.0,,,,4.0,16.0,14.0,47.0,,,,,34.0,8.0,5.0,23.0,,,3.0,5.0,1.0,1.0,7.0,,,2.0,2.0,,1.0,1.0,,1.0,1.0,1.0,5.0,,1.0,3.0,,1.0,6.0,3.0,4.0,,,,,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2023,DC United,c1e7y2fwgvh1kawh3hhsood7t,Ruan,Defender,2,,,2.0,2.0,10.0,1.0,,70.0,0.0,,1.0,1.0,,1.0,4.0,2.0,16.0,,,7.0,1.0,,3.0,,2.0,1.0,4.0,1.0,,,,,3.0,3.0,7.0,,,2.0,,4.0,1.0,,3.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,2.0,1.0,1.0,,1.0,1.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
