liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocked Shots,Carries,Corners Won,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,Foul Won Penalty,Games Played,Goals,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Goals Openplay,Goals from Inside Box,Goals from Outside Box,Ground Duels,Ground Duels lost,Ground Duels won,Handballs conceded,Headed Goals,Key Passes (Attempt Assists),Leftside Passes,Open Play Passes,Penalties Taken,Penalty Goals,Penalty Goals Conceded,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Right Foot Goals,Rightside Passes,Shots Created,Shots Off Target (inc woodwork),Shots On Target ( inc goals ),Starts,Substitute Off,Substitute On,Successful Crosses & Corners,Successful Crosses open play,Successful Dribbles,Successful Lay-offs,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Throw Ins to Opposition Player,Throw Ins to Own Player,Time Played,Times Tackled,Total Big Chances Created,Total Big Chances Scored,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Dribbles,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Yellow Cards,Home Goals,Away Goals,Winning Goal,Blocks,Interceptions,Penalties Conceded,Successful Launches,Unsuccessful Launches,Corners Taken (incl short corners),Hit Woodwork,Successful Corners into Box,Through balls,Unsuccessful Corners into Box,Assists (Intentional),Goal Assists,Offsides,Total Big Chances Missed,Unsuccessful lay-offs,Attempts from Set Pieces,Left Foot Goals,Clean Sheets,GK Successful Distribution,Goal Kicks,Catches,Drops,GK Unsuccessful Distribution,Penalties Faced,Saves Made,Saves Made from Outside Box,Saves made - caught,Saves made - parried,Overruns,Straight Red Cards,Total Red Cards,Punches,Saves Made from Inside Box,Total Big Chances Saved,Clearances Off the Line,Last Player Tackle,Goalkeeper Smother,Penalties Saved,Saves from Penalty,Own Goal Scored,Second Goal Assists,Crosses not Claimed,Red Cards - 2nd Yellow,Direct Corner Goals,Direct Setpiece Goals,Set Pieces Goals
USA_USL_League_One,2026,Antelope Valley Alta FC,avqvncrak5uyopjy8ivxpkbv8,M. Gonzalez,Goalkeeper,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Antelope Valley Alta FC,1nghaqqeyog6mwpaheybkg6qc,E. Hernandez,Midfielder,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Antelope Valley Alta FC,2h0j2lcj0oydm5vrztf6qd6vo,S. Higareda,Midfielder,24,,,,1,1,,,,7,4,3,6,1,1,,1,,,,,,,,7,4,3,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,1,,1,,1,,,9,2,,,,1,1,4,2,,1,1,,1,8,,,1,,1,,1,,,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Antelope Valley Alta FC,bu51rg2ezwrqq6l5t1qvyjcnp,M. Ibarra,Midfielder,10,4,1,3,6,9,,5,,10,5,5,11,3,1,,6,,3,2,1,,,,6,4,2,,,,1,19,,,,2,1,1,1,,6,,,1,1,1,5,,,,2,,15,6,9,15,,,,1,119,2,,,2,2,2,9,19,1,15,,1,4,32,,,,,4,,4,3,,,0,,1,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Antelope Valley Alta FC,bdzdg83vwqb1cpyy57tz26d5g,E. Jahng,Midfielder,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Antelope Valley Alta FC,6z8v0wlzx39ck9rsmqzpmh6ok,O. Lay,Midfielder,6,25,11,14,8,47,7,76,3,61,36,25,84,97,2,,8,1,10,8,2,1,1,,36,25,11,,,7,106,324,,,1,25,18,10,20,1,86,8,5,2,6,1,2,,,3,11,15,262,128,146,259,,3,,1,570,9,,1,16,5,5,87,336,7,274,3,9,62,437,2,2,6,19,41,23,43,1,0,1,0,1,5,,1,13,,,,,,,1,2,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Antelope Valley Alta FC,c5gaqjx3e91w2a7llkr94c31m,J. Mariona,Forward,17,4,4,,5,24,3,33,3,22,17,5,70,12,1,,5,,2,2,,,,,18,13,5,,,,9,64,,,,10,5,1,3,,19,,2,1,1,1,4,,,3,,1,51,42,9,50,,1,,4,138,8,,,,3,1,29,64,3,51,1,11,13,102,5,5,6,1,17,1,12,,,,0,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Antelope Valley Alta FC,62ujrwxly6uafxor8xwx5miy2,C. Ortiz,Defender,2,7,4,3,8,42,2,43,,37,15,22,84,43,,,8,1,4,3,1,1,1,,30,11,19,,,4,38,151,,,,15,9,2,21,1,34,4,2,2,3,2,5,2,2,5,2,5,124,77,54,124,2,8,8,29,333,9,,1,8,2,4,56,157,4,129,10,14,28,267,1,1,2,12,19,10,16,,1,0,0,2,4,,1,8,1,,,,,,,3,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Antelope Valley Alta FC,eow6cccnkkkur9nb3mrlgqi5m,M. Pajaro,Defender,4,30,13,17,7,31,1,106,2,54,23,31,16,133,4,,7,,11,9,2,,,,24,10,14,,,1,176,388,,,2,52,5,4,10,,62,1,2,2,7,,,1,1,1,,28,346,110,248,329,3,4,,,554,1,,,29,10,6,49,402,4,357,7,8,45,479,,,1,37,36,9,8,2,,,0,6,5,,4,13,,,,,,,,3,1,,,,1,1,1,,,,,,,,,,2,2,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Antelope Valley Alta FC,7ded4pvuygwgixz96nqr5z21g,K. Pehlivanov,Defender,44,30,10,20,8,10,2,79,,55,22,33,14,157,7,,8,,11,8,3,,,,25,12,13,,,1,145,426,,,2,39,3,3,19,,140,1,,,8,2,,,,2,,34,380,97,303,366,2,3,,2,680,,,,33,9,6,57,452,,400,5,2,52,536,,,,34,39,13,18,2,,,0,9,10,1,3,12,,,,,,,,1,,,,,2,6,8,,,2,,,,,,,,,,,,,,,,,,,,,,,
