liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off
Concacaf_Concacaf_U20,2024 Mexico,Cuba Under 20,86nfiv08mnxzb78j3xg9rxedw,Y. Hodelín,Goalkeeper,12,5,0,0,0,0,0,0,0
Concacaf_Concacaf_U20,2024 Mexico,Cuba Under 20,77wv8gmdjw45ameh3o267ok4,W. León,Midfielder,4,4,0,0,0,0,0,3,1
Concacaf_Concacaf_U20,2024 Mexico,Cuba Under 20,78w1e1v4tn7h7z7ebiia4jzf8,L. Mena,Defender,8,5,0,2,0,0,0,0,0
Concacaf_Concacaf_U20,2024 Mexico,Cuba Under 20,3g0lxe8pn1qco7wdevrmu6590,C. Mendoza,Attacker,17,2,0,0,0,0,0,0,1
Concacaf_Concacaf_U20,2024 Mexico,Cuba Under 20,bhg51gsfm42gch14utykl7o4,K. Pérez,Defender,5,5,1,0,0,0,0,0,0
Concacaf_Concacaf_U20,2024 Mexico,Cuba Under 20,3b1os5foi584erx7s714xkkk4,R. Polo,Defender,3,0,0,0,0,0,0,0,0
Concacaf_Concacaf_U20,2024 Mexico,Cuba Under 20,6ptktw3n78yjbpt5kcvz9nj84,J. Quiñones,Attacker,15,4,0,1,0,0,0,2,1
Concacaf_Concacaf_U20,2024 Mexico,Cuba Under 20,7qlkz5auk4wdz66e9jk9p60pg,D. Reinoso,Attacker,13,3,0,0,0,0,0,3,0
Concacaf_Concacaf_U20,2024 Mexico,Cuba Under 20,bm9qsta2qqa2tju8y4442hudw,S. Rodríguez,Midfielder,20,5,2,2,0,0,0,0,5
Concacaf_Concacaf_U20,2024 Mexico,Cuba Under 20,1mmcso3hy230w5v3jfnrpq2vo,R. Torres,Midfielder,11,4,0,2,0,0,0,2,1
Concacaf_Concacaf_U20,2024 Mexico,Cuba Under 20,53xkcs3jzudv4gtgcexhdfnkk,E. Torres,Attacker,19,4,0,0,0,0,0,4,0
Concacaf_Concacaf_U20,2024 Mexico,Cuba Under 20,biqq29w2uvffjzzqoj3mrxdlg,Y. Urgellés,Goalkeeper,1,0,0,0,0,0,0,0,0
Concacaf_Concacaf_U20,2024 Mexico,Cuba Under 20,bvav24hz4xjet9a3ll7oj83dg,M. Vega,Midfielder,14,4,0,1,1,1,0,3,1
Concacaf_Concacaf_U20,2024 Mexico,Cuba Under 20,3x29247ik8zof9dsmxaitbf2s,Y. Zayas,Goalkeeper,21,0,0,0,0,0,0,0,0
Concacaf_Concacaf_U20,2024 Mexico,Dominican Republic Under 20,2lh64nz60nb2oooy51winakno,Y. Álvarez,Midfielder,14,3,0,1,0,0,0,0,1
Concacaf_Concacaf_U20,2024 Mexico,Dominican Republic Under 20,ext9ighqgtig7dnfvcrrtkftg,C. Reyes,Attacker,7,2,0,0,0,0,0,1,1
Concacaf_Concacaf_U20,2024 Mexico,Dominican Republic Under 20,40za2m92ngp5og8pxyrkxl3is,I. Boatwright,Defender,6,2,0,0,0,0,0,0,1
Concacaf_Concacaf_U20,2024 Mexico,Dominican Republic Under 20,b69evxema6xgnbfym5z59ojkk,L. Bretón,Midfielder,8,3,0,1,0,0,0,1,0
Concacaf_Concacaf_U20,2024 Mexico,Dominican Republic Under 20,82wy2sw8qh4egosuvdc4a2p78,E. Concepción,Attacker,11,3,1,0,0,0,0,0,2
Concacaf_Concacaf_U20,2024 Mexico,Dominican Republic Under 20,9yp6i6x0xfnm8mb8v0ncj2dxw,J. Conesa,Defender,3,3,0,0,0,0,0,0,0
Concacaf_Concacaf_U20,2024 Mexico,Dominican Republic Under 20,9ixnmcus0d0ozp32v9blm268k,Y. Corcino,Midfielder,13,1,0,0,0,0,0,0,1
Concacaf_Concacaf_U20,2024 Mexico,Dominican Republic Under 20,8hruan6wqv2jz5gsvleycaa6s,N. Cruz,Midfielder,16,3,0,0,0,0,0,1,1
Concacaf_Concacaf_U20,2024 Mexico,Dominican Republic Under 20,5jq7k2bvta25rf31ko7h07ndg,E. Frías,Goalkeeper,1,3,0,1,0,0,0,0,0
Concacaf_Concacaf_U20,2024 Mexico,Dominican Republic Under 20,ddqp9ti9a45a0e0od6bo456vo,C. Adames,Goalkeeper,20,0,0,0,0,0,0,0,0
Concacaf_Concacaf_U20,2024 Mexico,Dominican Republic Under 20,6g9l4a2ppnuf8pwmd4a5ggt0,M. Jérez,Defender,5,3,0,0,0,0,0,0,1
Concacaf_Concacaf_U20,2024 Mexico,Dominican Republic Under 20,bddc5oqr4o4xfe5cgndsdl7h0,A. Kokoszka,Attacker,10,2,0,0,0,0,0,0,2
Concacaf_Concacaf_U20,2024 Mexico,Dominican Republic Under 20,dadjg9m4mmv5jj4ikuvt1zaqc,A. Martínez,Attacker,18,2,0,0,0,0,0,2,0
Concacaf_Concacaf_U20,2024 Mexico,Dominican Republic Under 20,5szjsmmswsia7nu2x52seq7f8,A. Mejía,Defender,21,2,0,0,0,0,0,2,0
Concacaf_Concacaf_U20,2024 Mexico,Dominican Republic Under 20,aghkc1yeurmb1yjzn33dxkq38,M. Mena,Defender,2,3,0,1,0,0,0,1,0
Concacaf_Concacaf_U20,2024 Mexico,Dominican Republic Under 20,8qu2f2k8q9h3o32g0dkpun0us,C. Ortiz,Attacker,9,3,0,0,0,0,0,0,2
Concacaf_Concacaf_U20,2024 Mexico,Dominican Republic Under 20,1n50a6zb4grm6rpo1o9l39nh0,B. Polanco,Defender,15,2,0,0,0,0,0,2,0
Concacaf_Concacaf_U20,2024 Mexico,Dominican Republic Under 20,dqndylksqwrpyvm0snsgheihg,J. Roces,Midfielder,17,2,1,0,0,0,0,1,0
Concacaf_Concacaf_U20,2024 Mexico,Dominican Republic Under 20,94mcjnwvczs1ii88atbt9dhck,D. Sánchez,Defender,4,2,0,2,0,0,0,1,1
Concacaf_Concacaf_U20,2024 Mexico,Dominican Republic Under 20,eors9g2luqg5gb9ec8omua9sk,A. Vargas,Midfielder,19,3,0,1,0,0,0,2,1
Concacaf_Concacaf_U20,2024 Mexico,Dominican Republic Under 20,31tjzzemrww76rzzudm8ow7is,E. Tiburcio,Goalkeeper,12,0,0,0,0,0,0,0,0
Concacaf_Concacaf_U20,2024 Mexico,El Salvador Under 20,7uzmdnnzeide9h2wxpw4chfro,C. Argueta,Attacker,15,2,1,1,0,0,0,2,0
Concacaf_Concacaf_U20,2024 Mexico,El Salvador Under 20,d70si637z9yunt7melmiqftp0,J. Carrillo,Defender,2,2,0,1,0,0,0,1,0
Concacaf_Concacaf_U20,2024 Mexico,El Salvador Under 20,3tq5zmt2j3b4ri40mnoyrhxck,K. Casamalhuapa,Defender,3,3,0,1,0,0,0,0,0
Concacaf_Concacaf_U20,2024 Mexico,El Salvador Under 20,72dikhy528ghv8bdi4xfwjms4,F. Castillo,Attacker,9,1,1,0,0,0,0,1,1
Concacaf_Concacaf_U20,2024 Mexico,El Salvador Under 20,en0ciwioytj01gk9pez4th990,N. Delgado,Defender,5,1,0,0,0,0,0,0,0
Concacaf_Concacaf_U20,2024 Mexico,El Salvador Under 20,5h7mhnh45lfl99bo1534tesr8,W. Díaz,Attacker,19,3,0,0,0,0,0,1,2
Concacaf_Concacaf_U20,2024 Mexico,El Salvador Under 20,asmthp65qflc3osls54cl65g4,N. Díaz,Attacker,7,3,1,1,0,0,0,0,1
Concacaf_Concacaf_U20,2024 Mexico,El Salvador Under 20,cd1us5rque0o1d6i2b4cujz10,D. Franco,Goalkeeper,1,3,0,0,0,0,0,0,0
Concacaf_Concacaf_U20,2024 Mexico,El Salvador Under 20,ddod873914s8wropdb4vbs36c,C. Guardado,Midfielder,6,2,0,1,0,0,0,0,1
Concacaf_Concacaf_U20,2024 Mexico,El Salvador Under 20,cnms9poaxkmllbock2mieluz8,D. Guardado,Defender,16,3,0,1,0,0,0,1,0
Concacaf_Concacaf_U20,2024 Mexico,El Salvador Under 20,9s9ax37d57uthzyzv07ffio7o,S. Guerra,Midfielder,10,3,0,0,0,0,0,0,1
Concacaf_Concacaf_U20,2024 Mexico,El Salvador Under 20,c93bv7kmjq243p6mz3fqxx990,N. Gutiérrez,Goalkeeper,21,0,0,0,0,0,0,0,0
Concacaf_Concacaf_U20,2024 Mexico,El Salvador Under 20,20pckq1eu0nwb3kf6e4bkvgno,H. Lemus,Goalkeeper,18,0,0,0,0,0,0,0,0
Concacaf_Concacaf_U20,2024 Mexico,El Salvador Under 20,djgtuj1dmqtb802ciiq3mrxuc,D. López,Defender,4,3,0,0,0,0,0,0,0
Concacaf_Concacaf_U20,2024 Mexico,El Salvador Under 20,7b1mjme9a2rsdmt5s9n3fvxg4,B. Lovo,Defender,12,3,0,1,0,0,0,0,0
Concacaf_Concacaf_U20,2024 Mexico,El Salvador Under 20,729qgkroezt15cjx8tqvksus,F. Martínez,Midfielder,11,3,0,1,0,0,0,0,3
Concacaf_Concacaf_U20,2024 Mexico,El Salvador Under 20,1k4risrocpmaoj9ntzqs8wwt0,V. Mejía,Midfielder,14,3,0,0,0,0,0,3,0
Concacaf_Concacaf_U20,2024 Mexico,El Salvador Under 20,u8uotyi5spshtcs7wr3agoic,W. Menjívar,Midfielder,8,3,0,0,0,0,0,0,1
Concacaf_Concacaf_U20,2024 Mexico,El Salvador Under 20,c5rv1jql4a626cfwnk6pmu9lg,D. Montejo,Attacker,20,0,0,0,0,0,0,0,0
Concacaf_Concacaf_U20,2024 Mexico,El Salvador Under 20,11wp9vkhwyv9uacsqcnogchzo,M. Rodríguez,Attacker,13,1,0,0,0,0,0,0,1
Concacaf_Concacaf_U20,2024 Mexico,El Salvador Under 20,5pmjeaxovo8kovznphrlnw6xg,B. Vásquez,Midfielder,17,2,0,0,0,0,0,2,0
Concacaf_Concacaf_U20,2024 Mexico,Guatemala Under 20,376ybg8nllehkgn8ari5cil0,C. Aguilar,Defender,15,4,0,2,0,0,0,0,0
Concacaf_Concacaf_U20,2024 Mexico,Guatemala Under 20,7pgjocwotkatrhah4xs2eoufo,M. Ávila,Attacker,20,4,1,0,0,0,0,3,1
Concacaf_Concacaf_U20,2024 Mexico,Guatemala Under 20,evrd3b76uptvvc6h6leccvhg4,D. Bolaños,Goalkeeper,12,2,0,0,0,0,0,0,0
Concacaf_Concacaf_U20,2024 Mexico,Guatemala Under 20,er2vmslbcsgeuxpp28o61w104,G. Cabrera,Defender,3,1,0,0,0,0,0,1,0
Concacaf_Concacaf_U20,2024 Mexico,Guatemala Under 20,abx33yfbu15ia4s7isf9mledw,D. Cuque,Defender,17,4,0,1,0,0,0,0,0
Concacaf_Concacaf_U20,2024 Mexico,Guatemala Under 20,1eirdjncs6092npuoeskrgh78,A. de la Cruz,Attacker,9,2,0,0,0,0,0,2,0
Concacaf_Concacaf_U20,2024 Mexico,Guatemala Under 20,bvceldczadfeb1c6pjzpgyhre,F. Delgado,Goalkeeper,1,2,0,0,0,0,0,0,0
Concacaf_Concacaf_U20,2024 Mexico,Guatemala Under 20,5e00w1rqym73habcl01wm7jtg,O. Escobar,Attacker,10,4,3,0,0,0,0,0,3
Concacaf_Concacaf_U20,2024 Mexico,Guatemala Under 20,6mm2h3x9hmyea3bu2wt80uo7o,M. Evans,Midfielder,7,4,1,0,0,0,0,1,1
Concacaf_Concacaf_U20,2024 Mexico,Guatemala Under 20,d1w4zs63sx3cc7wnc8wshbfv8,D. Guerra,Midfielder,6,4,0,0,0,0,0,0,3
Concacaf_Concacaf_U20,2024 Mexico,Guatemala Under 20,27j3d0zm7vj00wesvlea10v10,A. Lon,Midfielder,14,3,0,0,0,0,0,2,0
Concacaf_Concacaf_U20,2024 Mexico,Guatemala Under 20,45f1am352apxsoxj7bdlakbo4,C. Maldonado,Defender,2,3,0,1,0,0,0,2,1
Concacaf_Concacaf_U20,2024 Mexico,Guatemala Under 20,begmtk96t37413ubebvmi0xzo,A. Medrano,Goalkeeper,21,0,0,0,0,0,0,0,0
Concacaf_Concacaf_U20,2024 Mexico,Guatemala Under 20,3izz2c0ppcqp390hbxsg8lrf8,D. Méndez,Attacker,19,4,0,0,0,0,0,1,2
Concacaf_Concacaf_U20,2024 Mexico,Guatemala Under 20,69i02zkom4pwgicszgn35muqc,R. Muñoz,Midfielder,11,4,0,1,0,0,0,0,1
Concacaf_Concacaf_U20,2024 Mexico,Guatemala Under 20,bx28fkksuw3a0eof5wwhbxnv8,G. Pérez,Midfielder,16,4,0,0,0,0,0,0,1
Concacaf_Concacaf_U20,2024 Mexico,Guatemala Under 20,70r09qbrnkd19b3a7exm34jdg,H. Prillwitz,Attacker,4,1,0,0,0,0,0,1,1
Concacaf_Concacaf_U20,2024 Mexico,Guatemala Under 20,3yvw6ou77hue3klj2a2cpvxuc,J. Racancoj,Midfielder,18,3,0,1,0,0,0,3,0
Concacaf_Concacaf_U20,2024 Mexico,Guatemala Under 20,4l2l3c8qwsf1aogh5j1qiz3f8,Arián Recinos,Defender,5,4,0,2,0,0,0,0,2
Concacaf_Concacaf_U20,2024 Mexico,Guatemala Under 20,erjsatg6yhtwqh0w9mmj4qzh0,Antony Recinos,Midfielder,8,1,0,0,1,1,0,1,0
Concacaf_Concacaf_U20,2024 Mexico,Guatemala Under 20,a225ebnkztgiqflwrhrxweuj8,S. Sagastume,Midfielder,13,4,1,0,0,0,0,1,2
Concacaf_Concacaf_U20,2024 Mexico,Haiti Under 20,d568q6sywq5ew826vvzjliwic,G. Alexandre,Attacker,18,2,0,0,0,0,0,1,1
Concacaf_Concacaf_U20,2024 Mexico,Haiti Under 20,ewr6gvhfwsdgex43ttgqdyolw,T. Algarin,Goalkeeper,1,0,0,0,0,0,0,0,0
Concacaf_Concacaf_U20,2024 Mexico,Haiti Under 20,c73tr75o7gj1p09r8k94g6fx0,S. Brun,Midfielder,2,3,0,0,0,0,0,0,0
Concacaf_Concacaf_U20,2024 Mexico,Haiti Under 20,3vqwgfkpoy01rwofw5b6zxono,A. De Almeida,Defender,,0,0,0,0,0,0,0,0
Concacaf_Concacaf_U20,2024 Mexico,Haiti Under 20,1874nj27f507jqja4e8zla1as,B. Destin,Attacker,10,3,2,0,0,0,0,0,1
Concacaf_Concacaf_U20,2024 Mexico,Haiti Under 20,9ta03p4ocw4e507icq5miyhas,D. Edmond,Defender,16,3,0,2,0,0,0,1,0
Concacaf_Concacaf_U20,2024 Mexico,Haiti Under 20,bzmibau2vqutu34w9c4wkv8tm,D. Etienne,Defender,15,0,0,0,0,0,0,0,0
Concacaf_Concacaf_U20,2024 Mexico,Haiti Under 20,1fg442v12w1e3god14g0p2vpw,M. François,Midfielder,4,3,0,2,0,0,0,1,0
Concacaf_Concacaf_U20,2024 Mexico,Haiti Under 20,8ul7mo8fwuuar9cqbrwnsdlhw,G. Gay,Attacker,19,1,0,0,0,0,0,0,1
Concacaf_Concacaf_U20,2024 Mexico,Haiti Under 20,1vejkjn3z3wgdcmr2e3lrgd90,A. Gue,Midfielder,17,3,0,0,0,0,0,3,0
Concacaf_Concacaf_U20,2024 Mexico,Haiti Under 20,50mnevu5gdn7ve3cunbhao3kk,C. Jean-Francois,Defender,3,2,0,0,0,0,0,1,1
Concacaf_Concacaf_U20,2024 Mexico,Haiti Under 20,6rvrngp2p5e650vq2vt589st0,B. Joseph,Midfielder,6,3,0,0,0,0,0,0,0
Concacaf_Concacaf_U20,2024 Mexico,Haiti Under 20,2nom5w34rpkaoqep32qbknwus,B. Julian,Midfielder,8,3,0,1,0,0,0,0,1
Concacaf_Concacaf_U20,2024 Mexico,Haiti Under 20,2pg1se1i7jadwnkjwfuaxjd62,I. Louis,Attacker,9,3,0,0,0,0,0,2,1
Concacaf_Concacaf_U20,2024 Mexico,Haiti Under 20,bmj5eatcmsn77e7oh6zs6bris,J. Mednard,Goalkeeper,12,3,0,0,0,0,0,0,0
Concacaf_Concacaf_U20,2024 Mexico,Haiti Under 20,awenhysd1fytu7fxo9pe8z6c,J. Monclair,Defender,7,2,0,0,0,0,0,1,1
Concacaf_Concacaf_U20,2024 Mexico,Haiti Under 20,8lrn7x6cmdlbetphm91ubctbe,Nelson Pierre,Attacker,14,3,0,0,0,0,0,1,1
Concacaf_Concacaf_U20,2024 Mexico,Haiti Under 20,1f8iyrz3dgfafr9rwjs80h2c4,S. Powder,Attacker,13,3,0,0,0,0,0,2,1
Concacaf_Concacaf_U20,2024 Mexico,Haiti Under 20,dtqzamgiog4ogtdfai4bfdel0,J. Sanon,Goalkeeper,21,0,0,0,0,0,0,0,0
Concacaf_Concacaf_U20,2024 Mexico,Haiti Under 20,5suunbe5dfsif46grz9275b10,K. Tomlinson,Midfielder,20,2,0,0,0,0,0,1,1
Concacaf_Concacaf_U20,2024 Mexico,Haiti Under 20,63ncr9hn20f5pz8d86or7310,J. Vilsaint,Defender,5,3,0,0,0,0,0,0,2
Concacaf_Concacaf_U20,2024 Mexico,Haiti Under 20,f27ob0q7kp3z8y6cpygalyctm,R. Wagner,Attacker,11,2,0,0,0,0,0,0,2
Concacaf_Concacaf_U20,2024 Mexico,Honduras Under 20,5c97b4s8sk3saikxc1fomhhw,J. Bueso,Midfielder,20,2,0,0,0,0,0,2,0
Concacaf_Concacaf_U20,2024 Mexico,Honduras Under 20,4fqvitjj7eqhmt631v4caks9g,D. Cacho,Midfielder,2,4,0,0,0,0,0,0,1
Concacaf_Concacaf_U20,2024 Mexico,Honduras Under 20,vpbsq27klaantuu0pl61m3v8,J. Castillo,Midfielder,8,4,0,0,0,0,0,0,0
