liga,temporada,equipo,id,nombre,posicion,dorsal,Times Tackled,Successful Passes Opposition Half,Index,Open Play Passes,Unsuccessful Launches,Backward Passes,Successful Passes Own Half,Total Unsuccessful Passes ( Excl Crosses & Corners ),Duels,Leftside Passes,Throw Ins to Own Player,Total Touches In Opposition Box,Games Played,Aerial Duels lost,Shots On Target ( inc goals ),Total Shots,Duels won,Unsuccessful Passes Opposition Half,Ground Duels won,Unsuccessful Long Passes,Unsuccessful Short Passes,Foul Attempted Tackle,Starts,Unsuccessful Crosses & Corners,Total Passes,Successful Open Play Passes,Unsuccessful Passes Own Half,Successful Short Passes,Forward Passes,Recoveries,Tackles Won,Unsuccessful Dribbles,Total Fouls Conceded,Ground Duels,Unsuccessful Crosses open play,Goals Conceded Inside Box,Aerial Duels,Touches,Total Tackles,Total Successful Passes ( Excl Crosses & Corners ) ,Appearances,Time Played,Interceptions,Total Losses Of Possession,Total Clearances,Goals Conceded,Ground Duels lost,Successful Long Passes,Duels lost,Successful Dribbles,Home Goals,Away Goals,Winning Goal,Total Fouls Won,Key Passes (Attempt Assists),Rightside Passes,Substitute Off,Blocked Shots,Offsides,Aerial Duels won,Tackles Lost,Successful Launches,Corners Won,Successful Lay-offs,Shots Off Target (inc woodwork),Successful Crosses & Corners,Successful Crosses open play,Substitute On,PutThrough/Blocked Distribution,Corners Taken (incl short corners),Unsuccessful Corners into Box,Blocks,PutThrough/Blocked Distribution Won,Yellow Cards,Attempts from Set Pieces,Throw Ins to Opposition Player,Saves Made from Outside Box,Saves Made,GK Unsuccessful Distribution,GK Successful Distribution,Saves Made from Inside Box,Handballs conceded,Clean Sheets,Punches,Saves made - parried,Goals,Left Foot Goals,Goals from Inside Box,Successful Corners into Box,Right Foot Goals
Concacaf_Campeones_Cup,2022,Atlas FC,aa53igsrv81m9zy3ub1ri4v6d,M. Nervo,Defender,2,,8.0,10.0,30.0,,4.0,19.0,8.0,15.0,6.0,,1.0,1.0,2.0,,1.0,7.0,6.0,3.0,4.0,4.0,4.0,1.0,,35.0,23.0,2.0,22.0,16.0,1.0,1.0,,4.0,9.0,,2.0,6.0,49.0,1.0,27.0,1.0,90.0,3.0,9.0,,2.0,6.0,5.0,8.0,,0.0,0.0,0.0,2.0,,9.0,,,,4.0,,2.0,,,1.0,,,,3.0,,,1.0,3.0,1.0,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2022,Atlas FC,1gs5ptbru4t4s0s2vb2r3izca,A. Ocejo,Forward,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2022,Atlas FC,avdpequoe93pu17qm8ithscbu,E. Ortega,Midfielder,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2022,Atlas FC,8oysg1rd2ern90ef3pbxsuwo9,J. Quiñones,Forward,33,4.0,15.0,10.0,20.0,,,,6.0,12.0,3.0,,10.0,1.0,1.0,3.0,5.0,6.0,6.0,3.0,,6.0,1.0,1.0,,21.0,14.0,,15.0,9.0,4.0,,,1.0,8.0,,2.0,4.0,44.0,1.0,15.0,1.0,90.0,1.0,16.0,,2.0,5.0,,6.0,,0.0,0.0,0.0,2.0,3.0,9.0,,1.0,,3.0,1.0,,1.0,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2022,Atlas FC,21051apcxzotsbfnwivngarbp,L. Reyes,Defender,14,,18.0,10.0,39.0,6.0,2.0,10.0,17.0,4.0,,14.0,,1.0,,,,2.0,15.0,2.0,10.0,7.0,2.0,1.0,3.0,45.0,24.0,5.0,23.0,31.0,6.0,2.0,,2.0,4.0,2.0,2.0,,74.0,2.0,28.0,1.0,90.0,3.0,23.0,1.0,2.0,2.0,5.0,2.0,,0.0,0.0,0.0,,3.0,12.0,,3.0,,,,1.0,,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2022,Atlas FC,5mlvsyrovx07gvivuj643nvje,L. Rodríguez,Midfielder,32,,1.0,10.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,1.0,,,0.0,0.0,0.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2022,Atlas FC,ew34ex1in43myj1umh5xcx7md,A. Santamaría,Defender,5,,16.0,10.0,38.0,2.0,4.0,14.0,12.0,10.0,12.0,,2.0,1.0,1.0,1.0,2.0,5.0,10.0,2.0,6.0,6.0,1.0,1.0,,42.0,27.0,2.0,25.0,19.0,4.0,,,3.0,6.0,,2.0,4.0,54.0,,30.0,1.0,90.0,4.0,12.0,,2.0,4.0,5.0,5.0,,0.0,0.0,0.0,2.0,1.0,7.0,,,1.0,3.0,,,,,1.0,,,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2022,Atlas FC,7ot6emo291avsnjabzt36a9uy,C. Trejo,Forward,28,1.0,6.0,10.0,7.0,,1.0,,1.0,2.0,5.0,,3.0,1.0,,,,1.0,2.0,,,1.0,,,1.0,7.0,6.0,,6.0,1.0,,,,,1.0,,,1.0,12.0,,6.0,1.0,20.0,,4.0,,,1.0,,1.0,,0.0,0.0,0.0,,,,,1.0,,1.0,,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2022,Atlas FC,bsijqtivxx9jbkjsh9c7ixu51,C. Vargas,Goalkeeper,12,,7.0,10.0,16.0,6.0,,14.0,13.0,1.0,4.0,,,1.0,1.0,,,,13.0,,13.0,,,1.0,,34.0,10.0,,10.0,28.0,11.0,,,,,,2.0,1.0,45.0,,21.0,1.0,90.0,,15.0,,2.0,,11.0,1.0,,0.0,0.0,0.0,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,3.0,6.0,3.0,12.0,3.0,,,,,,,,,
Concacaf_Campeones_Cup,2022,Atlas FC,8oiw6d6y3tzcc58ijwwg0hh49,É. Zaldívar,Midfielder,6,1.0,23.0,10.0,32.0,,4.0,9.0,6.0,8.0,11.0,,,1.0,3.0,,,3.0,5.0,3.0,2.0,4.0,,1.0,,38.0,28.0,1.0,28.0,15.0,5.0,,,2.0,5.0,,2.0,3.0,49.0,,32.0,1.0,90.0,2.0,10.0,,2.0,2.0,4.0,5.0,1.0,0.0,0.0,0.0,2.0,1.0,8.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,
