liga,temporada,equipo,id,nombre,posicion,dorsal,Total Tackles,Throw Ins to Own Player,Total Clearances,Successful Short Passes,Tackles Won,Corners Won,Ground Duels won,Aerial Duels,Unsuccessful Passes Own Half,Games Played,Successful Open Play Passes,Rightside Passes,Forward Passes,Tackles Lost,Substitute Off,Successful Passes Own Half,Overruns,Through balls,Backward Passes,PutThrough/Blocked Distribution Won,Time Played,Appearances,Goal Assists,Unsuccessful Passes Opposition Half,Duels won,Open Play Passes,Unsuccessful Short Passes,Ground Duels,Unsuccessful Crosses open play,Shots Off Target (inc woodwork),Aerial Duels won,Leftside Passes,Unsuccessful Dribbles,Total Successful Passes ( Excl Crosses & Corners ) ,Total Touches In Opposition Box,Successful Lay-offs,Clean Sheets,Recoveries,Starts,Total Losses Of Possession,PutThrough/Blocked Distribution,Touches,Total Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Aerial Duels lost,Successful Dribbles,Ground Duels lost,Duels,Successful Passes Opposition Half,Index,Duels lost,Shots On Target ( inc goals ),Substitute On,Unsuccessful Crosses & Corners,Total Shots,Times Tackled,Total Fouls Won,Winning Goal,Goals Conceded Inside Box,Unsuccessful Long Passes,Successful Long Passes,Goals Conceded,Interceptions,Unsuccessful Launches,Throw Ins to Opposition Player,Key Passes (Attempt Assists),Successful Launches,Goals from Inside Box,Right Foot Goals,Left Foot Goals,Offsides,Total Fouls Conceded,Unsuccessful lay-offs,Goals,Home Goals,Away Goals,Successful Crosses & Corners,Unsuccessful Corners into Box,Assists (Intentional),Foul Attempted Tackle,Blocks,Successful Corners into Box,Corners Taken (incl short corners),Successful Crosses open play,Blocked Shots,GK Successful Distribution,Goal Kicks,Penalty Goals,Penalties Taken,Yellow Cards,Handballs conceded,Clearances Off the Line,Second Goal Assists,Foul Won Penalty,Goals from Outside Box,Red Cards - 2nd Yellow,Total Red Cards,Punches,Saves Made,GK Unsuccessful Distribution,Saves Made from Inside Box,Last Player Tackle,Saves Made from Outside Box,Goals Conceded Outside Box,Hit Woodwork,Attempts from Set Pieces,Goalkeeper Smother,Drops,Penalties Faced,Penalties Saved,Saves made - parried,Saves from Penalty,Straight Red Cards,Penalties Conceded
Concacaf_Concacaf_Gold_Cup,2025 USA - Canada,Canada,8qcl7ywa0ye0tpf7txo4uwuwa,N. Saliba,Midfielder,19,4,,2,67,2,,8,7,3,3,69,13,38,2,,23,,,12,4,199,3,,18,11,89,15,23,1,1,3,28,,71,4,,1,14,2,32,7,130,91,20,4,1,15,30,48,10,19,2,1,1,3,7,3,0,1,5,4,1,2,3,,2,,1,1,1,,7,,2,1,1,,,,3,1,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2025 USA - Canada,Canada,aoc7sahlaysl1n9d4nfawfy3u,J. Shaffelburg,Forward,14,4,5,,53,2,3,7,1,5,4,52,15,14,2,1,10,,,28,6,234,4,,28,8,66,15,20,14,1,1,11,3,53,10,2,1,2,3,46,13,130,68,15,,,13,21,45,10,13,,1,18,1,4,3,0,,,,,,,,1,,,,,1,7,,,,,2,3,,4,1,,5,2,2,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2025 USA - Canada,Canada,7uw88nwfgndw5rwjdf3ok89hw,N. Sigur,Midfielder,23,13,20,4,96,9,1,21,5,8,4,97,13,37,4,2,39,,,16,2,321,4,1,6,24,109,11,29,2,,3,48,2,102,2,1,2,18,4,26,6,192,114,12,2,3,8,34,63,10,10,1,,2,1,5,5,1,1,1,6,1,2,,4,1,1,1,1,,,2,,1,1,0,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2025 USA - Canada,Canada,bfwey1kjahjjl9uqn1c3w7xex,D. St. Clair,Goalkeeper,1,1,,1,19,,,1,,2,3,18,10,41,1,,21,,,,,270,3,,13,1,24,1,1,,,,8,,44,,,1,26,3,15,,79,59,15,,,,1,23,10,,,,,,,,0,2,14,25,2,,8,,,17,,,,,,,,,,,,,,,,,,,22,12,,,,,,,,,,,1,5,3,3,1,2,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2025 USA - Canada,Canada,9ckixz0zwl0km7laze2rbp2p5,J. Waterman,Defender,5,2,,8,96,1,,6,11,4,3,99,27,61,1,,41,,1,4,,213,3,,10,12,113,9,8,,,6,22,,100,1,,1,17,2,18,,138,114,14,5,,2,19,59,10,7,1,1,,1,,4,0,1,5,4,1,2,1,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2025 USA - Canada,Curaçao,ix6hcbfujuw3mgefzpsnp2zu,J. Antonisse,Forward,11,1,,,31,,2,4,,4,3,34,16,10,1,,19,1,,13,2,138,3,,10,4,42,6,11,1,,,4,5,34,1,1,,7,1,21,2,70,43,9,,2,7,11,16,10,7,2,2,5,2,5,1,0,1,3,3,2,3,1,,2,,1,1,,,2,,1,1,0,1,3,,2,,1,4,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2025 USA - Canada,Curaçao,6svx5u21jrcch3ewpqqbxukmh,J. Bacuna,Midfielder,7,7,,2,34,4,,13,7,2,2,34,11,18,3,,13,,,8,4,180,2,,11,16,43,4,29,1,,3,8,4,36,3,2,1,10,2,36,5,102,45,9,4,2,16,36,27,10,20,,,4,,9,4,0,1,5,2,1,,3,1,3,1,,,,,7,,,,,4,1,,4,,2,3,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2025 USA - Canada,Curaçao,9080840ngisugqraum27d0us5,L. Bacuna,Defender,10,1,,2,86,,2,3,1,8,2,83,33,31,1,1,49,,1,15,2,150,2,,14,4,100,11,7,,,1,30,,90,2,2,1,7,2,24,4,128,109,19,,,4,8,41,10,4,2,,3,2,1,2,0,1,8,4,1,2,4,,,,,,,,2,,,,,,2,,1,1,,3,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2025 USA - Canada,Curaçao,eola3wwbcxl6yeigrj16a3otm,T. Bodak,Goalkeeper,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2025 USA - Canada,Curaçao,6p4fs5rivwt0e45twlsf6ajth,J. Brenet,Defender,20,2,16,4,39,,,5,3,7,2,41,2,28,2,,28,,,6,1,180,2,,20,7,65,11,7,3,1,2,33,1,45,2,1,,12,2,31,4,105,69,24,1,1,2,10,18,10,3,,,3,1,1,2,0,2,13,6,3,,8,1,,4,,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
