liga,temporada,equipo,id,nombre,posicion,dorsal,Open Play Passes,Substitute On,Successful Open Play Passes,Successful Short Passes,Games Played,Successful Passes Opposition Half,Total Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Time Played,Forward Passes,Appearances,Index,Touches,Home Goals,Away Goals,Winning Goal,Duels lost,Ground Duels,Ground Duels won,Total Shots,Unsuccessful Short Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Unsuccessful Launches,Recoveries,Unsuccessful Long Passes,Clean Sheets,Times Tackled,Unsuccessful Passes Own Half,Total Touches In Opposition Box,Aerial Duels won,Blocks,Successful Passes Own Half,Goals Conceded Outside Box,Interceptions,Ground Duels lost,Total Clearances,Foul Attempted Tackle,Leftside Passes,Backward Passes,Rightside Passes,PutThrough/Blocked Distribution,Aerial Duels,Tackles Won,Unsuccessful Passes Opposition Half,Unsuccessful Dribbles,Duels,Goals Conceded,Successful Dribbles,Total Fouls Conceded,Goals Conceded Inside Box,Starts,Total Tackles,Shots Off Target (inc woodwork),Successful Long Passes,Duels won,Total Losses Of Possession,Total Fouls Won,PutThrough/Blocked Distribution Won,Shots On Target ( inc goals ),Blocked Shots,Yellow Cards,Offsides,Unsuccessful Crosses & Corners,Aerial Duels lost,Goals,Attempts from Set Pieces,Unsuccessful Crosses open play,Substitute Off,Goals from Inside Box,Tackles Lost,Key Passes (Attempt Assists),Left Foot Goals,GK Unsuccessful Distribution,Saves Made from Inside Box,Saves Made,GK Successful Distribution,Through balls,Corners Won,Goal Assists,Assists (Intentional),Successful Lay-offs,Throw Ins to Own Player,Right Foot Goals,Corners Taken (incl short corners),Goals from Outside Box,Unsuccessful Corners into Box,Second Goal Assists,Successful Launches,Successful Crosses & Corners,Successful Crosses open play,Foul Won Penalty,Handballs conceded,Successful Corners into Box,Penalties Taken,Penalty Goals,Throw Ins to Opposition Player,Saves made - parried,Punches,Catches,Goalkeeper Smother,Saves Made from Outside Box,Clearances Off the Line,Hit Woodwork,Penalty Goals Conceded,Drops,Penalties Faced,Penalties Conceded,Straight Red Cards,Total Red Cards,Unsuccessful lay-offs,Headed Goals
Concacaf_Leagues_Cup_2019_2022,2021,Club Santos Laguna,1df9uegp2hsbc4813no3mdvx1,Alessio da Cruz,Forward,0,15,,13,13,1,12,15,13,81,2,1,10,28,0,0,0,11,13,3,1,2,2,,5,,,4,1,3,2,,2,,,10,,1,1,6,6,,3,1,2,2,16,,,5,,1,2,1,,5,10,1,,,,,2,1,1,,,1,1,,1,,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Club Santos Laguna,yjqa4y6eca2qkf99e8ooxuui,J. Díaz,Defender,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Club Santos Laguna,3hspnklskppmobi4ihyg5a09h,Matheus Dória,Defender,21,64,,52,46,2,29,71,57,180,44,2,10,96,0,0,0,5,5,4,,8,14,2,18,6,1,,7,2,1,2,28,,4,1,7,,12,3,12,3,5,1,7,,10,1,,1,1,2,1,,11,5,16,3,1,,1,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Club Santos Laguna,5a80ldh277dry79xzj8vpqbmy,É. Games,Midfielder,201,7,1,6,4,1,5,7,6,9,3,1,10,8,0,0,0,,,,,1,1,,,,,,,,,,1,,1,,,,3,,1,,,,1,,,,,,,,,,2,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Club Santos Laguna,acsje2dbtg32t2pcaqkx7lmnd,J. García,Goalkeeper,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Club Santos Laguna,1ywn594g4nv3vvqyyy16qjutx,F. Gorriarán,Midfielder,11,127,,109,112,2,84,135,117,180,42,2,10,163,0,0,0,10,14,7,3,13,18,1,21,5,1,,2,2,1,1,34,,1,7,,3,32,24,37,5,4,1,20,,18,1,1,4,1,2,3,3,5,8,27,3,4,,1,1,1,4,3,,,,,,2,1,,,,,,,2,,,,,,4,,3,,,1,1,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Club Santos Laguna,f1trc7unzeeqvlexvzkltp46i,I. Govea,Defender,3,31,,22,22,1,14,31,22,90,16,1,10,49,0,0,0,7,5,2,,7,9,1,3,2,1,,2,1,1,,8,,3,3,2,,8,5,2,1,5,1,9,,10,,,2,,1,2,,,3,12,,,,,,,2,4,,,2,,,1,1,,,,,,,,,,,7,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Club Santos Laguna,elow2avgk966z580pispq374l,A. Ibargüen,Forward,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Club Santos Laguna,1v3lq8vey4ddxio0o17fuuitx,J. Isijara,Midfielder,27,7,1,7,7,1,6,7,7,8,1,1,10,8,0,0,0,2,1,,,,,,2,,,1,,,,,1,,,1,,,2,2,2,,1,,,1,2,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Club Santos Laguna,bj3lt3rad9p93r4soac60f651,I. Jeraldino,Forward,30,20,,17,15,1,15,20,17,75,4,1,10,33,0,0,0,10,9,2,1,2,3,,2,1,,5,,3,,,2,,,7,,,8,5,3,2,3,1,3,2,12,,,2,,1,1,1,2,2,11,1,2,,,,,,3,,,,1,,,1,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
