liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Time Played,Throw Ins to Own Player,Successful Lay-offs,Successful Launches,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Yellow Cards,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Substitute Off,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Ground Duels,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Attempts from Set Pieces,Successful Long Passes,Successful Crosses open play,Total Fouls Won,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Games Played,Hit Woodwork,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Unsuccessful lay-offs,Goal Assists,Through balls,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Substitute On,Offsides,Penalties Conceded,Goals,Successful Corners into Box,Total Red Cards,Throw Ins to Opposition Player,Red Cards - 2nd Yellow,Blocks,Left Foot Goals,Unsuccessful Corners into Box,Handballs conceded,Assists (Intentional),Goals from Inside Box,Penalties Taken,Penalty Goals,Goals from Outside Box,Headed Goals,Last Man Tackle,Straight Red Cards,Saves Made,GK Successful Distribution,Punches,Goalkeeper Smother,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves made - caught,GK Unsuccessful Distribution,Right Foot Goals,Foul Won Penalty,Set Pieces Goals,Drops,Penalties Off Target,Crosses not Claimed,Own Goal Scored,Clearances Off the Line,Penalties Saved,Saves from Penalty,Other Goals
Mexico_Liga_MX,2017-2018,Club Puebla,67xkw0v7i1og0x9x5cdbsg1qt,O. Fernández,Midfielder,20,7.0,750.0,4.0,20.0,1.0,309.0,3.0,91.0,2.0,185.0,3.0,1.0,5.0,1.0,1.0,1.0,5.0,90.0,79.0,7.0,46.0,313.0,10.0,5.0,4.0,251.0,10.0,5.0,51.0,111.0,7.0,46.0,,23.0,10.0,12.0,13.0,396.0,3.0,14.0,3.0,46.0,74.0,15.0,10.0,25.0,4.0,,11.0,2.0,10.0,4.0,6.0,55.0,1.0,11.0,8.0,14.0,,25.0,37.0,258.0,262.0,9.0,,4.0,4.0,2.0,6.0,30.0,1.0,3.0,21.0,4.0,2.0,,3.0,,,,,1.0,1.0,1.0,,3.0,3.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,
Mexico_Liga_MX,2017-2018,Club Puebla,4hlc9noo008xoxrf5sgrm02d,P. González,Midfielder,100,4.0,360.0,9.0,1.0,2.0,156.0,1.0,38.0,,82.0,1.0,,2.0,3.0,,,6.0,32.0,63.0,3.0,15.0,162.0,2.0,5.0,2.0,134.0,5.0,3.0,17.0,19.0,,17.0,1.0,19.0,5.0,8.0,5.0,226.0,1.0,5.0,3.0,17.0,49.0,2.0,10.0,9.0,3.0,,11.0,,1.0,3.0,,26.0,12.0,5.0,5.0,5.0,,11.0,56.0,141.0,145.0,9.0,1.0,,,,2.0,17.0,1.0,8.0,6.0,,,,1.0,,,1.0,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2017-2018,Club Puebla,6gxsgt3ui37jft9t669idxfmy,Pedro,Forward,306,,5.0,,,,1.0,,1.0,,1.0,,,,,,,,1.0,1.0,,,2.0,,1.0,,2.0,1.0,,,,,,,,,,,3.0,,1.0,1.0,2.0,,,10.0,,,,,,,,,2.0,,1.0,,1.0,,2.0,1.0,1.0,2.0,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2017-2018,Club Puebla,e5fjov7uu4d5wbbdo7uayn5cl,J. Guerrero,Midfielder,21,,1129.0,,7.0,3.0,577.0,,75.0,,248.0,10.0,2.0,18.0,15.0,1.0,2.0,5.0,78.0,285.0,32.0,41.0,592.0,2.0,9.0,9.0,492.0,18.0,3.0,59.0,169.0,1.0,32.0,2.0,90.0,13.0,24.0,27.0,751.0,,14.0,5.0,100.0,164.0,1.0,10.0,67.0,2.0,,41.0,,20.0,7.0,2.0,112.0,11.0,20.0,,14.0,,40.0,184.0,519.0,533.0,12.0,2.0,1.0,,,25.0,45.0,7.0,29.0,60.0,1.0,,,1.0,,,,,5.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Mexico_Liga_MX,2017-2018,Club Puebla,xpzmkhw1tvtk9b0eekj2ui1h,C. Gutiérrez,Defender,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2017-2018,Club Puebla,d7xz2xy18r274oi3vbjvyko2d,C. Marrugo,Forward,13,5.0,1132.0,5.0,24.0,,691.0,4.0,113.0,14.0,412.0,5.0,,21.0,15.0,13.0,1.0,12.0,177.0,226.0,28.0,85.0,730.0,10.0,20.0,12.0,561.0,14.0,18.0,106.0,214.0,23.0,107.0,3.0,76.0,13.0,24.0,24.0,943.0,31.0,16.0,10.0,122.0,224.0,13.0,10.0,64.0,5.0,2.0,63.0,7.0,13.0,11.0,5.0,145.0,10.0,15.0,25.0,16.0,,69.0,179.0,591.0,624.0,23.0,1.0,2.0,2.0,5.0,17.0,81.0,11.0,11.0,53.0,3.0,1.0,,1.0,6.0,,1.0,,2.0,,15.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Mexico_Liga_MX,2017-2018,Club Puebla,6vhqftkhafgvk8xfox51ktnmd,F. Micolta,Forward,10,,36.0,,1.0,,13.0,,4.0,,9.0,,,,,,,1.0,6.0,3.0,1.0,1.0,13.0,,,1.0,12.0,,2.0,1.0,,,1.0,,1.0,,1.0,,25.0,,1.0,,5.0,5.0,4.0,10.0,2.0,2.0,,,,,,,6.0,2.0,,,1.0,,3.0,4.0,12.0,12.0,1.0,,,,,,4.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2017-2018,Club Puebla,brgrlnemu51mt67798745f3kl,J. Mondragón,Defender,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2017-2018,Club Puebla,99z57k6778oyhv3gm1xdm3e8l,M. Muñoz,Goalkeeper,23,,1260.0,,,39.0,228.0,1.0,,,67.0,32.0,,84.0,,,2.0,,88.0,247.0,,1.0,399.0,,,1.0,173.0,17.0,,85.0,62.0,,65.0,,111.0,14.0,,20.0,515.0,,14.0,,5.0,233.0,,10.0,8.0,,,141.0,,3.0,4.0,1.0,9.0,6.0,19.0,,14.0,,1.0,104.0,197.0,314.0,4.0,3.0,,,,,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,37.0,146.0,4.0,,8.0,18.0,10.0,19.0,,6.0,41.0,,,,1.0,,,,,,,
Mexico_Liga_MX,2017-2018,Club Puebla,chbfpw8wc8l5nzbxv12p987h1,É. Pimentel,Defender,14,,306.0,3.0,,,120.0,,16.0,,27.0,4.0,1.0,7.0,1.0,1.0,,6.0,17.0,83.0,8.0,6.0,123.0,,4.0,2.0,99.0,7.0,2.0,13.0,50.0,,11.0,,13.0,3.0,2.0,2.0,164.0,,4.0,1.0,20.0,32.0,3.0,10.0,21.0,1.0,,11.0,,2.0,9.0,,35.0,13.0,7.0,,4.0,,8.0,25.0,107.0,110.0,15.0,1.0,,,,6.0,14.0,2.0,6.0,12.0,1.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
