liga,temporada,equipo,id,nombre,posicion,dorsal,Appearances,Backward Passes,Duels,Duels won,Final Third Touches,Forward Passes,Games Played,Goals Conceded,Goals Conceded Inside Box,Ground Duels,Ground Duels won,Key Passes (Attempt Assists),Leftside Passes,Open Play Passes,Recoveries,Rightside Passes,Shots Created,Shots Off Target (inc woodwork),Substitute On,Successful Crosses & Corners,Successful Crosses open play,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Throw Ins to Own Player,Time Played,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Crosses & Corners,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Winning Goal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Corners Won,Duels lost,Handballs conceded,Interceptions,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Starts,Successful Launches,Successful Lay-offs,Successful Long Passes,Tackles Lost,Tackles Won,Total Clearances,Total Fouls Conceded,Total Tackles,Blocks,Corners Taken (incl short corners),Hit Woodwork,Penalties Off Target,Penalties Taken,Substitute Off,Successful Corners into Box,Successful Dribbles,Throw Ins to Opposition Player,Total Big Chances Missed,Unsuccessful Corners into Box,Foul Attempted Tackle,Ground Duels lost,Offsides,Shots On Target ( inc goals ),Yellow Cards,Times Tackled,Unsuccessful Crosses open play,Unsuccessful Dribbles,Blocked Shots,GK Successful Distribution,Goal Kicks,Foul Won Penalty,Catches,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - parried,Total Big Chances Saved,Goals Conceded Outside Box,Overruns,Penalty Goals Conceded,Penalties Conceded,GK Unsuccessful Distribution,Penalties Faced,Unsuccessful lay-offs,Carries,Progressive Carries,Total Big Chances Created,Goals,Goals Openplay,Goals from Inside Box,Right Foot Goals,Total Big Chances Scored,Home Goals,Away Goals,Attempts from Set Pieces,Penalty Goals,Assists (Intentional),Goal Assists,Straight Red Cards,Total Red Cards,Clean Sheets,Left Foot Goals,Through balls,Headed Goals,Goalkeeper Smother,Own Goal Scored,Red Cards - 2nd Yellow,Direct Setpiece Goals,Goals from Outside Box,Set Pieces Goals,Drops,Penalties Saved,Saves from Penalty,Clearances Off the Line,Second Goal Assists,Saves made - caught,Crosses not Claimed,Other Goals,Last Player Tackle
USA_US_Open_Cup,2026,Chicago Fire FC,b4e6lsrz4cmr2q50235620qnd,J. Elliott,Defender,3,2.0,2.0,5.0,4.0,2.0,13.0,2.0,,,2.0,2.0,,13.0,35.0,,9.0,,,1.0,,,32.0,16.0,18.0,33.0,,50.0,2.0,3.0,37.0,,34.0,1.0,3.0,43.0,,1.0,1.0,2.0,1.0,2.0,0.0,3.0,1.0,2.0,,1.0,,2.0,,,1.0,,,1.0,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Chicago Fire FC,99hdzy5s45xr72d3lgttdmne1,J. Gal,Goalkeeper,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Chicago Fire FC,cqa20tk6yzfxh21e85rc0bm51,A. Gutman,Defender,15,1.0,1.0,4.0,2.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,,1.0,11.0,,5.0,,,1.0,,,8.0,5.0,3.0,7.0,3.0,13.0,,5.0,11.0,,8.0,,3.0,19.0,,,2.0,3.0,,1.0,0.0,2.0,2.0,,,2.0,,,,,,1.0,,1.0,1.0,1.0,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Chicago Fire FC,d8uucuj8x9geirjn1wqdu5fqh,M. Haile-Selassie,Midfielder,7,2.0,9.0,8.0,3.0,36.0,5.0,2.0,3.0,3.0,8.0,3.0,1.0,10.0,41.0,3.0,17.0,1.0,3.0,1.0,,,35.0,20.0,15.0,33.0,1.0,135.0,1.0,21.0,41.0,4.0,35.0,8.0,6.0,67.0,4.0,1.0,2.0,9.0,1.0,4.0,0.0,,,,2.0,5.0,,1.0,,,1.0,,2.0,2.0,1.0,,1.0,,1.0,,2.0,,,,,,1.0,,,2.0,,5.0,,1.0,,4.0,2.0,2.0,,,,,,,,,,,,,1.0,,,,,,14.0,12.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Chicago Fire FC,d9qfqechz8gc0c5q7zr5m0f10,Leonardo Barroso,Defender,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Chicago Fire FC,8rjgpjjq3jva18pvh0i74cbf9,R. Lod,Midfielder,17,2.0,1.0,9.0,1.0,8.0,3.0,2.0,3.0,3.0,7.0,1.0,,2.0,7.0,2.0,2.0,,,2.0,,,5.0,5.0,1.0,6.0,1.0,38.0,1.0,7.0,8.0,,6.0,2.0,2.0,17.0,1.0,,,1.0,2.0,2.0,0.0,2.0,2.0,,1.0,8.0,,1.0,1.0,1.0,,,,,,,,3.0,,,,,,,,,,,,,1.0,6.0,,,,2.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,1.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Chicago Fire FC,1rc9l6360pxvs4l7zc8y3yk9g,M. Mbokazi,Defender,4,2.0,5.0,9.0,6.0,1.0,27.0,2.0,3.0,3.0,6.0,4.0,,12.0,67.0,7.0,26.0,,1.0,1.0,,,57.0,16.0,44.0,52.0,1.0,130.0,1.0,13.0,70.0,1.0,60.0,,10.0,89.0,,3.0,6.0,4.0,6.0,4.0,0.0,3.0,1.0,2.0,,3.0,,,2.0,1.0,1.0,3.0,,8.0,1.0,2.0,4.0,2.0,3.0,1.0,,,,,1.0,,,,,,2.0,2.0,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,14.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Chicago Fire FC,7iavd5damj4yxqgh65jgssnah,C. Mueller,Forward,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Chicago Fire FC,64wbk2nsrs0ru0hjcq0lenwgk,S. Oregel Jr.,Midfielder,35,2.0,28.0,14.0,7.0,33.0,37.0,2.0,2.0,2.0,12.0,5.0,,47.0,125.0,10.0,19.0,,,,,,110.0,53.0,63.0,113.0,,168.0,2.0,21.0,131.0,,116.0,,15.0,153.0,2.0,1.0,3.0,11.0,6.0,12.0,0.0,2.0,,2.0,1.0,7.0,,3.0,4.0,3.0,2.0,,2.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,,,,,1.0,,1.0,,,,2.0,7.0,,,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,23.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Chicago Fire FC,bmuexenaurjeso2dgx2zkbys5,M. Pineda,Defender,22,2.0,18.0,15.0,8.0,21.0,35.0,2.0,3.0,3.0,15.0,8.0,2.0,35.0,123.0,19.0,39.0,2.0,,,,,104.0,51.0,57.0,102.0,,180.0,,24.0,127.0,,108.0,,19.0,148.0,,2.0,5.0,11.0,8.0,14.0,0.0,,,,,7.0,,2.0,4.0,2.0,2.0,1.0,7.0,6.0,1.0,6.0,2.0,3.0,7.0,,,,,,,,1.0,,,,3.0,7.0,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,11.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Chicago Fire FC,b1p6qcv8wjzoxoax3nt13n5gq,D. Poręba,Midfielder,29,2.0,8.0,12.0,6.0,10.0,10.0,2.0,,,11.0,5.0,1.0,6.0,30.0,1.0,6.0,2.0,,1.0,,,26.0,14.0,12.0,26.0,,83.0,3.0,7.0,30.0,,26.0,1.0,4.0,41.0,,,,3.0,1.0,4.0,0.0,1.0,,1.0,,6.0,,,2.0,2.0,1.0,,2.0,,,1.0,,4.0,1.0,,,,,,1.0,,1.0,,,,2.0,6.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,7.0,3.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Chicago Fire FC,54r2nep64r0nrlhpjco561je2,V. Radojević,Defender,14,2.0,13.0,19.0,11.0,30.0,36.0,2.0,3.0,3.0,18.0,11.0,,4.0,81.0,11.0,29.0,,,,1.0,1.0,57.0,33.0,26.0,56.0,13.0,175.0,3.0,36.0,82.0,,58.0,4.0,24.0,129.0,7.0,3.0,8.0,29.0,2.0,16.0,0.0,1.0,1.0,,,8.0,,3.0,1.0,1.0,2.0,1.0,,2.0,,8.0,4.0,7.0,8.0,,,,,,1.0,,,3.0,,,5.0,7.0,,,1.0,,7.0,,,,,,,,,,,,,,,,,,,,16.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Chicago Fire FC,bx5qa3vn26qdi3mr2ckt1wmw9,S. Rogers,Defender,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Chicago Fire FC,99i96gbkvesmh3wspv8rl1ln9,A. Salétros,Midfielder,6,2.0,6.0,6.0,1.0,18.0,10.0,2.0,1.0,1.0,4.0,1.0,2.0,13.0,37.0,2.0,11.0,2.0,1.0,1.0,,,31.0,21.0,13.0,33.0,1.0,76.0,,10.0,40.0,2.0,34.0,2.0,6.0,50.0,1.0,1.0,2.0,4.0,3.0,4.0,0.0,2.0,2.0,,1.0,5.0,,,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,,,1.0,,,,,,1.0,3.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,12.0,8.0,,1.0,1.0,1.0,,1.0,1.0,0.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Chicago Fire FC,aqw02tnmnj4zr3oexskl3l2i,J. Sandmeyer,Defender,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Chicago Fire FC,6n0x8t513vmsmgfasovvoj7u2,J. Shokalook,Forward,20,2.0,11.0,14.0,4.0,19.0,2.0,2.0,3.0,3.0,7.0,3.0,1.0,6.0,26.0,4.0,8.0,1.0,2.0,1.0,,,19.0,12.0,8.0,19.0,,110.0,1.0,13.0,27.0,4.0,20.0,4.0,7.0,40.0,,,,6.0,1.0,7.0,1.0,7.0,6.0,1.0,,10.0,,,,,1.0,,1.0,1.0,,2.0,,3.0,2.0,,,,,,1.0,,,,,,2.0,4.0,,2.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,1.0,2.0,1.0,1.0,0.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Chicago Fire FC,7puseij7qa0bt3ggynt5jtp0,R. Turdean,Midfielder,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2026,Chicago Fire FC,9ckixz0zwl0km7laze2rbp2p5,J. Waterman,Defender,16,2.0,10.0,10.0,5.0,3.0,66.0,2.0,3.0,3.0,9.0,5.0,,29.0,124.0,10.0,25.0,,,,,,107.0,24.0,88.0,108.0,,180.0,4.0,19.0,130.0,,112.0,1.0,18.0,149.0,,10.0,12.0,13.0,5.0,6.0,0.0,1.0,1.0,,,5.0,,2.0,,,2.0,2.0,,4.0,,1.0,5.0,4.0,1.0,3.0,,,,,,,,,,,2.0,4.0,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,22.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
USA_US_Open_Cup,2026,Chicago Fire FC,d6r3vkalhudms84f6fs415wid,P. Zinckernagel,Forward,11,2.0,13.0,14.0,8.0,42.0,18.0,2.0,2.0,2.0,11.0,7.0,3.0,23.0,59.0,8.0,9.0,5.0,2.0,,2.0,,52.0,37.0,20.0,54.0,,135.0,5.0,24.0,63.0,2.0,55.0,8.0,8.0,95.0,8.0,,,13.0,3.0,8.0,0.0,3.0,2.0,1.0,2.0,6.0,1.0,,2.0,2.0,2.0,,3.0,1.0,,2.0,,2.0,2.0,,5.0,,,,1.0,1.0,,,,4.0,1.0,4.0,,,,2.0,4.0,2.0,,,,,,,,,,,,,,,,,,1.0,16.0,4.0,2.0,,,,,,,,1.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
