liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Time Played,Throw Ins to Own Player,Successful Launches,Open Play Passes,Backward Passes,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Total Fouls Conceded,Successful Short Passes,Goals Conceded Inside Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Throw Ins to Opposition Player,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Appearances,Blocks,Ground Duels,Forward Passes,Index,Duels won,Successful Long Passes,Total Fouls Won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Games Played,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,GK Successful Distribution,Substitute On,Successful Lay-offs,Goals,Right Foot Goals,Successful Crosses & Corners,Yellow Cards,Shots Off Target (inc woodwork),Substitute Off,Successful Dribbles,Total Shots,Total Red Cards,Blocked Shots,Red Cards - 2nd Yellow,Foul Attempted Tackle,Total Touches In Opposition Box,Shots On Target ( inc goals ),Successful Crosses open play,Aerial Duels won,Handballs conceded,Hit Woodwork,Goals from Inside Box,Unsuccessful lay-offs,Through balls,Offsides,Corners Won,Successful Corners into Box,Corners Taken (incl short corners),Goals from Outside Box,Left Foot Goals,Unsuccessful Corners into Box,Assists (Intentional),Clearances Off the Line,Goal Assists,Saves Made,Crosses not Claimed,Punches,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Saves made - caught,GK Unsuccessful Distribution,Second Goal Assists,Own Goal Scored,Headed Goals,Foul Won Penalty,Set Pieces Goals,Attempts from Set Pieces,Penalties Taken,Penalty Goals,Straight Red Cards,Penalties Conceded,Goalkeeper Smother,Penalties Faced,Times Tackled,Penalty Goals Conceded,Home Goals,Away Goals,Winning Goal,Other Goals,Goal Kicks,Last Man Tackle,Saves from Penalty,Penalties Saved,Penalties Off Target
USA_USL_Championship,2017,Pittsburgh Riverhounds SC,31s3cxxh3ofgnk51208ekx7mx,B. Fitzpatrick,Midfielder,0,4.0,456.0,19.0,1.0,145.0,19.0,63.0,3.0,12.0,5.0,1.0,7.0,77.0,40.0,17.0,35.0,149.0,2.0,93.0,5.0,47.0,24.0,1.0,36.0,6.0,27.0,5.0,8.0,15.0,273.0,9.0,2.0,42.0,55.0,10.0,29.0,9.0,4.0,3.0,53.0,11.0,6.0,4.0,9.0,17.0,51.0,99.0,102.0,11.0,1.0,15.0,24.0,2.0,15.0,25.0,,4.0,,,,1.0,,1.0,2.0,4.0,4.0,,3.0,,1.0,13.0,3.0,1.0,4.0,,,,,1.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2017,Pittsburgh Riverhounds SC,3t88wv1gicp4x8d81kese609h,H. Gilstrap,Goalkeeper,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2017,Pittsburgh Riverhounds SC,aigpzkjyja6ksrcl8dteylqs5,S. Gómez,Defender,38,8.0,666.0,53.0,3.0,267.0,51.0,104.0,19.0,28.0,7.0,2.0,13.0,124.0,93.0,15.0,49.0,269.0,6.0,180.0,9.0,77.0,9.0,4.0,59.0,15.0,55.0,7.0,15.0,26.0,468.0,10.0,4.0,54.0,101.0,10.0,38.0,12.0,7.0,7.0,75.0,21.0,11.0,8.0,10.0,24.0,108.0,191.0,192.0,21.0,1.0,11.0,37.0,4.0,24.0,30.0,,3.0,,,,5.0,,,2.0,8.0,1.0,,1.0,,5.0,8.0,1.0,5.0,8.0,1.0,,,,,,2.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2017,Pittsburgh Riverhounds SC,adul0gqe3oz62hnykfyrasp91,M. Green,Midfielder,8,5.0,843.0,19.0,2.0,398.0,30.0,166.0,7.0,23.0,5.0,1.0,5.0,119.0,151.0,14.0,62.0,402.0,10.0,289.0,12.0,85.0,77.0,5.0,65.0,13.0,59.0,8.0,13.0,25.0,533.0,15.0,2.0,41.0,166.0,10.0,31.0,28.0,6.0,1.0,52.0,18.0,13.0,5.0,15.0,16.0,129.0,314.0,317.0,11.0,2.0,10.0,21.0,4.0,20.0,25.0,,7.0,2.0,,,,1.0,1.0,1.0,6.0,1.0,,2.0,,4.0,5.0,,,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2017,Pittsburgh Riverhounds SC,ds4ydkz3y7hnymqsnef0wa0h5,J. Greenspan,Defender,29,,900.0,1.0,8.0,359.0,29.0,63.0,34.0,75.0,1.0,,11.0,152.0,193.0,25.0,55.0,386.0,14.0,217.0,9.0,130.0,82.0,2.0,89.0,1.0,51.0,10.0,6.0,41.0,581.0,10.0,11.0,55.0,221.0,10.0,79.0,39.0,8.0,1.0,114.0,85.0,9.0,,10.0,24.0,54.0,247.0,256.0,59.0,4.0,20.0,35.0,5.0,31.0,31.0,,,,,,,3.0,4.0,,,4.0,,1.0,,5.0,10.0,,,48.0,1.0,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2017,Pittsburgh Riverhounds SC,cp3xobpfectu6mnvm7jveoafp,C. Hertzog,Forward,0,12.0,2717.0,39.0,2.0,959.0,239.0,537.0,2.0,21.0,17.0,5.0,33.0,487.0,188.0,14.0,244.0,988.0,28.0,678.0,37.0,265.0,333.0,49.0,244.0,13.0,82.0,30.0,49.0,33.0,1540.0,32.0,2.0,183.0,217.0,10.0,108.0,45.0,66.0,20.0,234.0,23.0,42.0,12.0,32.0,93.0,199.0,698.0,723.0,51.0,4.0,10.0,126.0,4.0,11.0,90.0,,2.0,97.0,14.0,8.0,2.0,6.0,53.0,3.0,14.0,98.0,,14.0,,7.0,151.0,45.0,2.0,18.0,4.0,7.0,12.0,14.0,2.0,38.0,23.0,,2.0,2.0,2.0,,,1.0,2.0,,,,,,,,,,,,,4.0,3.0,1.0,5.0,4.0,3.0,,,,,,,,,,,,,,,
USA_USL_Championship,2017,Pittsburgh Riverhounds SC,duvfmnlf1os15o06gogj37wtl,M. Hollingsworth,Midfielder,25,6.0,1356.0,26.0,2.0,553.0,130.0,282.0,13.0,25.0,15.0,2.0,11.0,210.0,153.0,40.0,106.0,557.0,25.0,404.0,15.0,131.0,111.0,23.0,100.0,10.0,89.0,16.0,26.0,37.0,809.0,20.0,1.0,123.0,135.0,10.0,68.0,22.0,20.0,10.0,138.0,11.0,17.0,6.0,20.0,59.0,181.0,423.0,426.0,15.0,4.0,31.0,70.0,9.0,20.0,64.0,,4.0,9.0,2.0,1.0,9.0,1.0,2.0,8.0,5.0,7.0,,2.0,,9.0,19.0,5.0,9.0,4.0,3.0,,,1.0,,,8.0,,,2.0,1.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2017,Pittsburgh Riverhounds SC,99gfo35ngbry4ga75k3hptmmt,K. Howell,Midfielder,17,,310.0,1.0,,156.0,38.0,86.0,,1.0,3.0,,3.0,62.0,44.0,6.0,26.0,157.0,5.0,126.0,3.0,27.0,38.0,6.0,17.0,,22.0,2.0,7.0,10.0,233.0,14.0,1.0,50.0,40.0,10.0,27.0,4.0,4.0,5.0,59.0,3.0,3.0,,14.0,29.0,41.0,129.0,130.0,9.0,,4.0,32.0,2.0,2.0,21.0,,12.0,3.0,,,,1.0,2.0,2.0,11.0,4.0,,1.0,,5.0,5.0,2.0,,6.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2017,Pittsburgh Riverhounds SC,9cpxily0avbzydb7vrnwriajt,A. Kapp,Goalkeeper,41,,4.0,,,2.0,,1.0,,2.0,,,,2.0,2.0,,,5.0,,2.0,,2.0,,,1.0,,1.0,,,1.0,6.0,1.0,,,4.0,10.0,,1.0,,,,,,,1.0,,1.0,1.0,3.0,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2017,Pittsburgh Riverhounds SC,5otx47vttipx9u95s0blzm40l,K. Kerr,Midfielder,10,58.0,2813.0,46.0,4.0,1321.0,266.0,725.0,18.0,91.0,22.0,5.0,29.0,628.0,389.0,32.0,268.0,1422.0,22.0,955.0,36.0,359.0,254.0,56.0,413.0,4.0,157.0,31.0,56.0,56.0,2007.0,32.0,8.0,175.0,520.0,10.0,102.0,108.0,36.0,23.0,226.0,24.0,41.0,110.0,32.0,95.0,382.0,981.0,1063.0,51.0,8.0,21.0,124.0,11.0,19.0,80.0,,1.0,25.0,3.0,2.0,51.0,1.0,17.0,1.0,16.0,29.0,,11.0,,8.0,65.0,12.0,20.0,22.0,1.0,3.0,3.0,3.0,5.0,17.0,29.0,28.0,79.0,,1.0,35.0,4.0,,5.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
