liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocks,Carries,Clean Sheets,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Games Played,Goals Conceded,Goals Conceded Inside Box,Ground Duels,Ground Duels lost,Ground Duels won,Interceptions,Leftside Passes,Open Play Passes,Progressive Carries,Recoveries,Rightside Passes,Shots On Target ( inc goals ),Starts,Successful Dribbles,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Throw Ins to Opposition Player,Throw Ins to Own Player,Time Played,Times Tackled,Total Big Chances Missed,Total Clearances,Total Fouls Conceded,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Winning Goal,Foul Attempted Tackle,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Substitute Off,Unsuccessful lay-offs,Hit Woodwork,Substitute On,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Yellow Cards,Successful Crosses & Corners,Successful Crosses open play,Total Fouls Won,GK Successful Distribution,GK Unsuccessful Distribution,Goal Kicks,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Successful Launches,Total Big Chances Saved,Corners Taken (incl short corners),Corners Won,Key Passes (Attempt Assists),Overruns,Successful Corners into Box,Successful Lay-offs,Total Big Chances Created,Unsuccessful Corners into Box,Offsides,Goals,Goals Openplay,Goals from Inside Box,Headed Goals,Total Big Chances Scored,Home Goals,Away Goals,Assists (Intentional),Goal Assists,Blocked Shots,Through balls,Catches,Saves made - parried,Clearances Off the Line,Handballs conceded,Attempts from Set Pieces,Goals from Outside Box,Right Foot Goals,Goalkeeper Smother,Goals Conceded Outside Box,Penalty Goals Conceded,Shots Created,Drops,Penalties Faced,Left Foot Goals,Penalties Conceded,Foul Won Penalty,Penalties Taken,Penalty Goals,Saves made - caught,Other Goals,Straight Red Cards,Total Red Cards,Last Player Tackle,Second Goal Assists,Red Cards - 2nd Yellow,Penalties Off Target,Crosses not Claimed,Direct Setpiece Goals,Set Pieces Goals,Penalties Saved,Saves from Penalty,Own Goal Scored
Concacaf_Concacaf_Champions_Cup,2026,Real CD España,1hqmsudemykuf4m6u155uh1xw,M. Fajardo,Midfielder,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,Real CD España,2wp1nfc3m2u5zzmwbot9lgq21,F. Flores,Midfielder,5,2.0,,2.0,2.0,19.0,,14.0,,10.0,3.0,7.0,28.0,37.0,2.0,7.0,7.0,8.0,3.0,5.0,2.0,3.0,88.0,10.0,3.0,33.0,,2.0,1.0,2.0,78.0,42.0,40.0,80.0,4.0,,5.0,12.0,180.0,,,2.0,2.0,23.0,92.0,,82.0,4.0,3.0,10.0,132.0,,,1.0,8.0,6.0,9.0,0.0,1.0,6.0,2.0,,,,,,4.0,4.0,,,,1.0,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,Real CD España,dultuwuispxt7xg3iiqc84a8l,E. Hernández,Forward,11,2.0,2.0,,1.0,6.0,1.0,3.0,,3.0,3.0,,2.0,1.0,1.0,5.0,5.0,1.0,1.0,,,2.0,7.0,,,2.0,,1.0,,,6.0,4.0,6.0,10.0,,,,,45.0,1.0,,,,3.0,11.0,,10.0,,,1.0,15.0,1.0,,,,1.0,1.0,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,Real CD España,cbfwxcrosukiyw2fwgczlk7x0,M. Hill,Defender,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,Real CD España,3mkqnv0iovu246f6bkyzqhsve,J. Jean-Baptiste,Midfielder,14,9.0,4.0,5.0,2.0,15.0,,15.0,,19.0,8.0,11.0,10.0,14.0,2.0,7.0,7.0,10.0,4.0,6.0,3.0,25.0,74.0,4.0,5.0,23.0,1.0,2.0,3.0,15.0,70.0,25.0,48.0,58.0,,1.0,,,152.0,,,,2.0,9.0,77.0,3.0,73.0,1.0,2.0,4.0,99.0,,,,2.0,2.0,4.0,0.0,,2.0,2.0,2.0,2.0,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,4.0,,,,1.0,,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,Real CD España,e2t3udl1a6fvv40d2q95skxec,J. Palacios,Midfielder,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,Real CD España,cbyp6fbp6x44572n87udspqz9,L. López,Goalkeeper,22,,,,2.0,,,4.0,,,,,,20.0,2.0,7.0,7.0,,,,,19.0,44.0,2.0,12.0,22.0,,2.0,,8.0,37.0,3.0,48.0,43.0,,,,,180.0,,,,,10.0,61.0,,51.0,,,10.0,78.0,,6.0,10.0,8.0,2.0,,0.0,,,,,,,,,,,,,,,14.0,2.0,8.0,,8.0,5.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,Real CD España,ewntxwja4bt07fiavl5m10opg,C. Mejía,Defender,28,4.0,2.0,2.0,2.0,12.0,,19.0,,21.0,8.0,13.0,13.0,36.0,2.0,7.0,7.0,17.0,6.0,11.0,6.0,32.0,78.0,10.0,5.0,4.0,,2.0,1.0,1.0,71.0,31.0,47.0,76.0,2.0,2.0,5.0,6.0,176.0,,,3.0,2.0,16.0,84.0,,77.0,4.0,1.0,7.0,125.0,,,2.0,7.0,2.0,5.0,0.0,2.0,3.0,3.0,,2.0,,,,2.0,2.0,,1.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,Real CD España,elgekbo8qga7na9xhgwupw2l0,R. Osorto,Forward,36,,,,1.0,,,,,,,,2.0,,1.0,,,,,,,1.0,2.0,,,1.0,,,,,1.0,1.0,,1.0,,,,,3.0,,,,,1.0,2.0,,1.0,,,1.0,2.0,,,,1.0,,1.0,0.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,Real CD España,62nd2lhonscy2liyld3z3ias4,C. Pike,Midfielder,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
