liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Time Played,Substitute On,Successful Lay-offs,Successful Launches,Goals,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Yellow Cards,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Penalty Goals Conceded,Total Passes,Substitute Off,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Blocks,Ground Duels,Goals from Outside Box,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Successful Long Passes,Successful Crosses open play,Total Fouls Won,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Left Foot Goals,Unsuccessful Crosses & Corners,Games Played,Unsuccessful Corners into Box,Handballs conceded,Assists (Intentional),Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Unsuccessful lay-offs,Goal Assists,Through balls,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Goals Conceded Outside Box,Offsides,Right Foot Goals,Headed Goals,Goals from Inside Box,Throw Ins to Own Player,Set Pieces Goals,Successful Corners into Box,Attempts from Set Pieces,Penalties Taken,Throw Ins to Opposition Player,Saves Made,GK Successful Distribution,Penalties Conceded,Punches,Penalties Saved,Goalkeeper Smother,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves from Penalty,Saves made - caught,GK Unsuccessful Distribution,Total Red Cards,Straight Red Cards,Foul Won Penalty,Second Goal Assists,Hit Woodwork,Penalty Goals,Crosses not Claimed,Other Goals,Red Cards - 2nd Yellow,Clearances Off the Line,Own Goal Scored,Last Man Tackle,Penalties Off Target
Canada_Canadian_Premier_League,2019,Forge FC,d3zpp8u78lgqwzbgj9kvq9my2,L. Iacobellis,Goalkeeper,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2019,Forge FC,8ad2vcq9xcul0kkfms8qo0wk5,A. Achinioti-Jönsson,Midfielder,13,,1761.0,5.0,1.0,3.0,,824.0,2.0,112.0,,284.0,21.0,,36.0,7.0,4.0,26.0,181.0,412.0,43.0,118.0,1.0,850.0,4.0,29.0,20.0,645.0,13.0,5.0,154.0,235.0,4.0,101.0,,113.0,20.0,21.0,53.0,1103.0,,25.0,14.0,5.0,147.0,,233.0,7.0,10.0,128.0,1.0,51.0,,35.0,33.0,4.0,206.0,36.0,15.0,,,25.0,,1.0,,52.0,270.0,671.0,696.0,59.0,9.0,,2.0,1.0,30.0,78.0,13.0,44.0,95.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
Canada_Canadian_Premier_League,2019,Forge FC,1hdfhtafk7cehetym09wbhpm,J. Kotsopoulos,Midfielder,12,,138.0,2.0,3.0,,2.0,26.0,2.0,9.0,,16.0,,,,1.0,2.0,1.0,13.0,6.0,1.0,6.0,,28.0,1.0,2.0,3.0,21.0,1.0,7.0,6.0,6.0,1.0,6.0,,2.0,1.0,2.0,,52.0,,3.0,1.0,,10.0,,9.0,14.0,10.0,5.0,5.0,1.0,,1.0,,1.0,11.0,,1.0,,,3.0,,,,5.0,4.0,20.0,22.0,1.0,,,,,,6.0,1.0,1.0,5.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2019,Forge FC,d3uo72swkorck8mo41kv1yp61,D. Krutzen,Defender,5,11.0,2471.0,1.0,1.0,21.0,1.0,1510.0,9.0,105.0,7.0,525.0,61.0,,191.0,18.0,6.0,38.0,431.0,694.0,49.0,159.0,3.0,1562.0,1.0,23.0,5.0,1041.0,21.0,11.0,350.0,465.0,16.0,285.0,1.0,155.0,27.0,26.0,89.0,2030.0,14.0,28.0,14.0,9.0,108.0,,731.0,17.0,10.0,113.0,5.0,171.0,1.0,13.0,47.0,1.0,193.0,95.0,24.0,,24.0,28.0,6.0,,2.0,42.0,261.0,1177.0,1212.0,85.0,12.0,,2.0,,24.0,80.0,25.0,44.0,66.0,3.0,,,1.0,1.0,97.0,,5.0,4.0,,27.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
Canada_Canadian_Premier_League,2019,Forge FC,9u43821bgzomf56br5toaywdm,B. Maan,Goalkeeper,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2019,Forge FC,btd38hasv7hxy5bw4g43ymhyi,M. Mohsen,Defender,22,6.0,363.0,5.0,,3.0,1.0,108.0,,27.0,4.0,53.0,3.0,2.0,4.0,2.0,3.0,6.0,71.0,38.0,9.0,20.0,1.0,111.0,3.0,9.0,4.0,83.0,2.0,4.0,24.0,44.0,4.0,28.0,,10.0,4.0,5.0,4.0,244.0,4.0,9.0,4.0,1.0,51.0,1.0,36.0,3.0,10.0,26.0,1.0,4.0,2.0,8.0,5.0,4.0,62.0,5.0,2.0,1.0,8.0,9.0,2.0,,,30.0,4.0,84.0,87.0,11.0,1.0,,,,5.0,36.0,4.0,5.0,21.0,,,,,,29.0,,2.0,,,9.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2019,Forge FC,6pi1u2mdt56ns3pqkdjp772s5,C. Nanco,Forward,11,19.0,1496.0,11.0,5.0,2.0,4.0,379.0,25.0,95.0,3.0,214.0,12.0,1.0,20.0,13.0,13.0,14.0,305.0,70.0,22.0,85.0,3.0,386.0,7.0,26.0,23.0,274.0,11.0,25.0,105.0,108.0,19.0,105.0,5.0,92.0,15.0,26.0,19.0,774.0,2.0,26.0,9.0,1.0,198.0,,104.0,77.0,10.0,73.0,12.0,7.0,3.0,20.0,8.0,40.0,220.0,6.0,15.0,2.0,19.0,26.0,,3.0,2.0,133.0,79.0,274.0,281.0,22.0,3.0,,2.0,1.0,9.0,147.0,13.0,13.0,65.0,4.0,14.0,2.0,,4.0,23.0,,,,,9.0,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,
Canada_Canadian_Premier_League,2019,Forge FC,32fe58rlsvv1h3qthbhol08yy,A. Novak,Forward,23,3.0,1113.0,4.0,10.0,,6.0,226.0,11.0,91.0,,117.0,2.0,4.0,4.0,3.0,5.0,65.0,189.0,47.0,10.0,80.0,1.0,248.0,10.0,11.0,12.0,164.0,7.0,19.0,84.0,57.0,11.0,76.0,6.0,28.0,14.0,14.0,11.0,457.0,2.0,18.0,3.0,2.0,102.0,,41.0,59.0,10.0,62.0,14.0,,,19.0,23.0,16.0,190.0,9.0,7.0,3.0,3.0,18.0,,1.0,2.0,63.0,59.0,143.0,164.0,88.0,,9.0,3.0,,7.0,128.0,3.0,1.0,39.0,,2.0,3.0,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
Canada_Canadian_Premier_League,2019,Forge FC,djsh03luk6mlcoqsqfexadd9m,B. Owundi,Defender,21,1.0,1757.0,3.0,,18.0,,1025.0,1.0,72.0,1.0,259.0,46.0,4.0,94.0,7.0,2.0,31.0,195.0,615.0,20.0,87.0,1.0,1054.0,1.0,17.0,5.0,815.0,17.0,2.0,181.0,378.0,,130.0,1.0,92.0,19.0,18.0,52.0,1269.0,,22.0,8.0,10.0,66.0,,442.0,6.0,10.0,74.0,,58.0,1.0,12.0,37.0,,134.0,91.0,20.0,,1.0,22.0,,,,29.0,162.0,847.0,873.0,68.0,7.0,,,,14.0,60.0,6.0,24.0,37.0,3.0,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
Canada_Canadian_Premier_League,2019,Forge FC,1w17tn6ss40z0rhlkaws2uq96,O.Oyegunle,Defender,15,2.0,38.0,1.0,,,,7.0,,1.0,,1.0,,,,1.0,,1.0,8.0,3.0,1.0,3.0,,7.0,,1.0,,3.0,2.0,,3.0,3.0,,5.0,,,,4.0,,22.0,,1.0,,,2.0,,3.0,,10.0,2.0,,1.0,,1.0,,,3.0,1.0,3.0,,2.0,1.0,,,,,,4.0,4.0,1.0,,,,,,1.0,1.0,1.0,2.0,1.0,,,,,4.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
